order_id,order_date,region,province,channel,category,product,quantity,unit_price,discount,revenue,cost,profit,customer_type,payment_method,rating
ORD00082,2024-04-22,ภาคกลาง,ปทุมธานี,หน้าร้าน,อิเล็กทรอนิกส์,สมาร์ทวอทช์,3,3490,0,10470.0,5791.55,4678.45,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD02501,2024-12-12,ภาคกลาง,ปทุมธานี,Lazada,ความงาม,ครีมกันแดด,2,450,0.1,810.0,554.1,255.9,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD02117,2025-10-12,ภาคเหนือ,เชียงราย,เว็บไซต์,ความงาม,ครีมกันแดด,4,450,0.1,1814.4,1153.37,661.03,ลูกค้าประจำ,เงินสด,5
ORD00227,2025-11-24,ภาคใต้,ภูเก็ต,Lazada,คอมพิวเตอร์,เมาส์เกมมิ่ง,4,890,0.1,3588.48,2490.63,1097.85,ลูกค้าใหม่,เงินสด,5
ORD02778,2024-08-23,ภาคตะวันออก,จันทบุรี,Lazada,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,2,4990,0.1,8982.0,6198.71,2783.29,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD00429,2024-10-02,ภาคเหนือ,พิษณุโลก,Shopee,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,5,2590,0.15,11007.5,8077.12,2930.38,ลูกค้าประจำ,เงินสด,3
ORD00012,2025-12-07,ภาคกลาง,ปทุมธานี,Shopee,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,4,4990,0,22355.2,11874.99,10480.21,ลูกค้าใหม่,โอนผ่านแอป,4
ORD01315,2024-07-28,ภาคกลาง,นนทบุรี,Lazada,คอมพิวเตอร์,SSD 1TB,2,2190,0,4380.0,2572.44,1807.56,ลูกค้าใหม่,บัตรเครดิต,4
ORD00045,2025-07-05,ภาคเหนือ,เชียงราย,หน้าร้าน,ความงาม,เซรั่มบำรุงผิว,1,790,0,884.8,478.57,406.23,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD00501,2024-05-17,ภาคกลาง,นนทบุรี,Shopee,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,2,1590,0.1,2862.0,2047.8,814.2,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD02202,2025-03-27,ภาคเหนือ,พิษณุโลก,เว็บไซต์,แฟชั่น,รองเท้าผ้าใบ,3,1890,0.15,5397.84,3839.89,1557.95,ลูกค้าประจำ,บัตรเครดิต,4
ORD01105,2025-06-20,ภาคกลาง,กรุงเทพมหานคร,เว็บไซต์,ความงาม,ลิปสติก,1,350,0,392.0,218.61,173.39,ลูกค้าประจำ,,3
ORD00767,2025-12-14,ภาคเหนือ,เชียงใหม่,หน้าร้าน,อิเล็กทรอนิกส์,สมาร์ทวอทช์,4,3490,0,15635.2,7811.55,7823.65,ลูกค้าใหม่,บัตรเครดิต,5
ORD00158,2024-01-24,ภาคเหนือ,เชียงใหม่,Lazada,ความงาม,เซรั่มบำรุงผิว,1,790,0,790.0,507.28,282.72,ลูกค้าใหม่,เงินสด,2
ORD02298,2024-02-10,ภาคกลาง,นนทบุรี,Shopee,แฟชั่น,รองเท้าผ้าใบ,1,1890,0.05,1795.5,1290.0,505.5,ลูกค้าใหม่,บัตรเครดิต,
ORD00509,2025-10-04,ภาคตะวันออก,ระยอง,LINE Shopping,ความงาม,เซรั่มบำรุงผิว,1,790,0.15,752.08,582.72,169.36,ลูกค้าประจำ,เก็บเงินปลายทาง,5
ORD00289,2024-12-17,ภาคเหนือ,พิษณุโลก,Lazada,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0.15,2116.5,1624.62,491.88,ลูกค้าประจำ,บัตรเครดิต,5
ORD02573,2025-06-21,ภาคเหนือ,เชียงใหม่,LINE Shopping,ความงาม,เซรั่มบำรุงผิว,2,790,0.15,1504.16,904.91,599.25,ลูกค้าประจำ,โอนผ่านแอป,4
ORD01527,2025-01-14,ภาคตะวันออก,จันทบุรี,เว็บไซต์,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,2,590,0.1,1189.44,678.83,510.61,ลูกค้าประจำ,เงินสด,3
ORD02816,2024-01-09,ภาคอีสาน,นครราชสีมา,หน้าร้าน,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0,2490.0,1523.15,966.85,ลูกค้าประจำ,บัตรเครดิต,5
ORD01600,2024-12-09,ภาคเหนือ,เชียงราย,Lazada,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,1,690,0,690.0,441.24,248.76,ลูกค้าประจำ,เงินสด,5
ORD00009,2025-11-15,ภาคกลาง,ปทุมธานี,Shopee,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,2,590,0,1321.6,854.44,467.16,ลูกค้าประจำ,โอนผ่านแอป,3
ORD01576,2024-05-21,ภาคอีสาน,นครราชสีมา,Shopee,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,2,690,0,1380.0,949.09,430.91,ลูกค้าประจำ,โอนผ่านแอป,4
ORD02465,2024-06-09,ภาคกลาง,นครปฐม,หน้าร้าน,ความงาม,ลิปสติก,1,350,0.05,332.5,229.22,103.28,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD02601,2025-01-14,ภาคกลาง,ปทุมธานี,Lazada,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,2,2490,0.1,5019.84,2806.05,2213.79,ลูกค้าใหม่,เก็บเงินปลายทาง,3
ORD00836,2024-03-24,ภาคเหนือ,เชียงใหม่,Lazada,คอมพิวเตอร์,SSD 1TB,2,2190,0,4380.0,3176.73,1203.27,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD02309,2024-03-05,ภาคกลาง,นครปฐม,หน้าร้าน,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,1,690,0.05,655.5,496.45,159.05,ลูกค้าประจำ,เงินสด,5
ORD02558,2025-04-05,ภาคกลาง,นนทบุรี,Lazada,ความงาม,เซรั่มบำรุงผิว,1,790,0.15,752.08,452.21,299.87,ลูกค้าใหม่,บัตรเครดิต,5
ORD02307,2024-11-19,ภาคกลาง,กรุงเทพมหานคร,เว็บไซต์,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,2,690,0,1380.0,825.59,554.41,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD02863,2025-04-02,ภาคใต้,สงขลา,เว็บไซต์,แฟชั่น,รองเท้าผ้าใบ,1,1890,0.1,1905.12,1260.33,644.79,ลูกค้าประจำ,เงินสด,3
ORD01616,2024-03-10,ภาคอีสาน,นครราชสีมา,LINE Shopping,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,2,2590,0.05,4921.0,3342.02,1578.98,ลูกค้าใหม่,โอนผ่านแอป,3
ORD02878,2024-02-16,ภาคใต้,ภูเก็ต,หน้าร้าน,แฟชั่น,กางเกงยีนส์,5,890,0.05,4227.5,3264.55,962.95,ลูกค้าใหม่,บัตรเครดิต,3
ORD00571,2025-10-01,ภาคกลาง,ปทุมธานี,หน้าร้าน,คอมพิวเตอร์,SSD 1TB,1,2190,0.05,2330.16,1594.34,735.82,ลูกค้าประจำ,โอนผ่านแอป,5
ORD01642,2024-04-06,ภาคอีสาน,ขอนแก่น,หน้าร้าน,คอมพิวเตอร์,เมาส์เกมมิ่ง,2,890,0,1780.0,1216.16,563.84,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD00383,2025-05-27,ภาคอีสาน,นครราชสีมา,Shopee,อิเล็กทรอนิกส์,หูฟังไร้สาย,1,1290,0,1444.8,835.9,608.9,ลูกค้าใหม่,บัตรเครดิต,4
ORD00404,2024-08-26,ภาคตะวันออก,ชลบุรี,Shopee,อิเล็กทรอนิกส์,หูฟังไร้สาย,1,1290,0,1290.0,899.77,390.23,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD01357,2025-03-22,ภาคกลาง,ปทุมธานี,Shopee,ความงาม,เซรั่มบำรุงผิว,1,790,0.05,840.56,442.94,397.62,ลูกค้าประจำ,บัตรเครดิต,4
ORD02447,2024-10-20,ภาคอีสาน,นครราชสีมา,เว็บไซต์,ความงาม,เซรั่มบำรุงผิว,4,790,0.05,3002.0,1935.11,1066.89,ลูกค้าใหม่,เก็บเงินปลายทาง,3
ORD00764,2025-03-21,ภาคกลาง,กรุงเทพมหานคร,Shopee,คอมพิวเตอร์,เมาส์เกมมิ่ง,3,890,0,2990.4,1693.44,1296.96,ลูกค้าประจำ,บัตรเครดิต,4
ORD01678,2024-10-05,ภาคตะวันออก,จันทบุรี,Lazada,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,3,590,0.15,1504.5,1025.43,479.07,ลูกค้าประจำ,เงินสด,4
ORD00001,2025-11-08,ภาคกลาง,กรุงเทพมหานคร,หน้าร้าน,อิเล็กทรอนิกส์,หูฟังไร้สาย,2,1290,0,2889.6,1531.82,1357.78,ลูกค้าประจำ,เก็บเงินปลายทาง,3
ORD00932,2024-04-21,ภาคกลาง,นนทบุรี,Shopee,ความงาม,เซรั่มบำรุงผิว,1,790,0,790.0,542.69,247.31,ลูกค้าประจำ,โอนผ่านแอป,4
ORD02595,2024-11-22,ภาคกลาง,นนทบุรี,Shopee,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,3,690,0,2070.0,1514.34,555.66,ลูกค้าประจำ,โอนผ่านแอป,5
ORD02037,2025-04-06,ภาคกลาง,ปทุมธานี,Lazada,ความงาม,ครีมกันแดด,1,450,0.1,453.6,278.06,175.54,ลูกค้าประจำ,บัตรเครดิต,5
ORD02664,2024-04-16,ภาคกลาง,ปทุมธานี,LINE Shopping,คอมพิวเตอร์,เมาส์เกมมิ่ง,1,890,0,890.0,605.43,284.57,ลูกค้าประจำ,บัตรเครดิต,5
ORD01132,2025-12-04,ภาคกลาง,นครปฐม,Shopee,ความงาม,ครีมกันแดด,5,450,0,2520.0,1592.79,927.21,ลูกค้าประจำ,เก็บเงินปลายทาง,3
ORD00793,2025-07-10,ภาคตะวันออก,จันทบุรี,Shopee,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,1,1590,0.05,1691.76,1131.28,560.48,ลูกค้าประจำ,เงินสด,3
ORD01079,2025-05-14,ภาคกลาง,กรุงเทพมหานคร,หน้าร้าน,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,1,590,0.05,627.76,398.99,228.77,ลูกค้าประจำ,บัตรเครดิต,3
ORD00695,2024-07-15,ภาคเหนือ,,หน้าร้าน,ความงาม,ครีมกันแดด,1,450,0,450.0,294.75,155.25,ลูกค้าประจำ,โอนผ่านแอป,3
ORD02921,2024-06-25,ภาคกลาง,นครปฐม,หน้าร้าน,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,1,4990,0,4990.0,3367.66,1622.34,ลูกค้าประจำ,โอนผ่านแอป,3
ORD01494,2025-05-08,ภาคกลาง,กรุงเทพมหานคร,Lazada,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,2,1590,0.1,3205.44,1855.24,1350.2,ลูกค้าประจำ,บัตรเครดิต,3
ORD01311,2025-12-27,ภาคอีสาน,อุบลราชธานี,LINE Shopping,แฟชั่น,กางเกงยีนส์,2,890,0.05,1893.92,988.12,905.8,ลูกค้าประจำ,โอนผ่านแอป,2
ORD01640,2025-12-16,ภาคกลาง,นนทบุรี,หน้าร้าน,ความงาม,ลิปสติก,4,350,0,1568.0,1021.24,546.76,ลูกค้าประจำ,เก็บเงินปลายทาง,3
ORD01394,2024-08-06,ภาคเหนือ,เชียงราย,หน้าร้าน,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,2,2490,0,4980.0,2827.33,2152.67,ลูกค้าประจำ,บัตรเครดิต,5
ORD01826,2024-12-28,ภาคอีสาน,อุบลราชธานี,Lazada,ความงาม,ครีมกันแดด,1,450,0.1,405.0,306.52,98.48,ลูกค้าใหม่,โอนผ่านแอป,1
ORD02965,2025-03-27,ภาคอีสาน,อุดรธานี,Lazada,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,2,2590,0.1,5221.44,3178.82,2042.62,ลูกค้าใหม่,เก็บเงินปลายทาง,3
ORD02263,2025-08-24,ภาคกลาง,นนทบุรี,หน้าร้าน,ความงาม,เซรั่มบำรุงผิว,2,790,0,1769.6,939.85,829.75,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD01409,2025-01-17,ภาคกลาง,นครปฐม,Shopee,แฟชั่น,กระเป๋าเป้,4,990,0,4435.2,2573.51,1861.69,ลูกค้าประจำ,บัตรเครดิต,5
ORD00199,2025-03-27,ภาคตะวันออก,ชลบุรี,LINE Shopping,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,1,690,0.05,734.16,415.77,318.39,ลูกค้าประจำ,เงินสด,5
ORD02905,2025-05-10,ภาคตะวันออก,จันทบุรี,Lazada,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,5,2590,0,14504.0,8040.93,6463.07,ลูกค้าประจำ,เก็บเงินปลายทาง,5
ORD02388,2024-11-08,ภาคตะวันออก,ระยอง,Shopee,คอมพิวเตอร์,เมาส์เกมมิ่ง,2,890,0.1,1602.0,1053.95,548.05,ลูกค้าใหม่,เงินสด,3
ORD00155,2025-11-19,ภาคอีสาน,อุบลราชธานี,Lazada,แฟชั่น,รองเท้าผ้าใบ,3,1890,0.1,5715.36,3201.32,2514.04,ลูกค้าใหม่,เงินสด,4
ORD00095,2025-12-27,ภาคกลาง,ปทุมธานี,หน้าร้าน,แฟชั่น,เสื้อยืด,5,290,0.05,1542.8,930.93,611.87,ลูกค้าใหม่,เงินสด,3
ORD00007,2024-05-22,ภาคอีสาน,นครราชสีมา,Lazada,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,2,590,0.05,1121.0,734.43,386.57,ลูกค้าประจำ,เงินสด,5
ORD02531,2025-02-22,ภาคกลาง,ปทุมธานี,Shopee,คอมพิวเตอร์,"จอมอนิเตอร์ 24""",3,4290,0,14414.4,8477.27,5937.13,ลูกค้าประจำ,โอนผ่านแอป,5
ORD00221,2025-08-28,ภาคตะวันออก,ระยอง,LINE Shopping,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0,2788.8,1485.53,1303.27,ลูกค้าประจำ,เงินสด,5
ORD00069,2025-08-02,ภาคกลาง,นนทบุรี,เว็บไซต์,คอมพิวเตอร์,เมาส์เกมมิ่ง,2,890,0.15,1694.56,1064.74,629.82,ลูกค้าใหม่,บัตรเครดิต,4
ORD01727,2024-12-03,ภาคกลาง,ปทุมธานี,หน้าร้าน,ความงาม,ครีมกันแดด,2,450,0.05,855.0,602.14,252.86,ลูกค้าประจำ,โอนผ่านแอป,4
ORD00243,2024-12-06,ภาคอีสาน,อุบลราชธานี,LINE Shopping,ความงาม,ครีมกันแดด,1,450,0.05,427.5,310.91,116.59,ลูกค้าประจำ,โอนผ่านแอป,4
ORD01157,2024-12-07,ภาคกลาง,กรุงเทพมหานคร,หน้าร้าน,ความงาม,ครีมกันแดด,2,450,0,900.0,544.77,355.23,ลูกค้าประจำ,บัตรเครดิต,5
ORD01160,2025-08-05,ภาคกลาง,นนทบุรี,Lazada,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,1,1590,0,1780.8,1109.14,671.66,ลูกค้าประจำ,เงินสด,5
ORD02121,2025-10-16,ภาคใต้,สุราษฎร์ธานี,หน้าร้าน,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,1,690,0,772.8,482.78,290.02,ลูกค้าประจำ,บัตรเครดิต,5
ORD00028,2024-11-17,ภาคตะวันออก,ชลบุรี,หน้าร้าน,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,4,1590,0,6360.0,4399.57,1960.43,ลูกค้าประจำ,โอนผ่านแอป,4
ORD00004,2024-08-21,ภาคตะวันออก,ระยอง,Shopee,คอมพิวเตอร์,เมาส์เกมมิ่ง,1,890,0,890.0,518.45,371.55,ลูกค้าใหม่,บัตรเครดิต,5
ORD02348,2025-02-19,ภาคเหนือ,เชียงใหม่,Shopee,แฟชั่น,รองเท้าผ้าใบ,1,1890,0.15,1799.28,1238.38,560.9,ลูกค้าประจำ,โอนผ่านแอป,3
ORD00719,2025-05-24,ภาคเหนือ,พิษณุโลก,Shopee,ความงาม,ครีมกันแดด,1,450,0.05,478.8,294.93,183.87,ลูกค้าประจำ,โอนผ่านแอป,5
ORD00074,2024-10-29,ภาคกลาง,ปทุมธานี,Lazada,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,3,2490,0,7470.0,4901.59,2568.41,ลูกค้าประจำ,บัตรเครดิต,5
ORD00459,2024-12-09,ภาคกลาง,นครปฐม,หน้าร้าน,คอมพิวเตอร์,เมาส์เกมมิ่ง,2,890,0,1780.0,1018.55,761.45,ลูกค้าประจำ,โอนผ่านแอป,5
ORD02658,2024-12-18,ภาคอีสาน,อุบลราชธานี,หน้าร้าน,อิเล็กทรอนิกส์,หูฟังไร้สาย,1,1290,0.05,1225.5,878.54,346.96,ลูกค้าใหม่,โอนผ่านแอป,5
ORD02493,2025-08-24,ภาคกลาง,ปทุมธานี,Lazada,คอมพิวเตอร์,เมาส์เกมมิ่ง,1,890,0.05,946.96,490.4,456.56,ลูกค้าใหม่,เงินสด,3
ORD02453,2025-07-22,ภาคเหนือ,เชียงราย,หน้าร้าน,แฟชั่น,รองเท้าผ้าใบ,1,1890,0,2116.8,1185.03,931.77,ลูกค้าประจำ,เงินสด,5
ORD01687,2025-01-17,ภาคอีสาน,นครราชสีมา,หน้าร้าน,ความงาม,ครีมกันแดด,4,450,0,2016.0,1155.07,860.93,ลูกค้าใหม่,บัตรเครดิต,4
ORD02190,2024-06-12,ภาคกลาง,กรุงเทพมหานคร,Shopee,ความงาม,ครีมกันแดด,1,450,0.05,427.5,264.73,162.77,ลูกค้าใหม่,เก็บเงินปลายทาง,3
ORD00662,2024-07-02,ภาคอีสาน,อุดรธานี,หน้าร้าน,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,4,590,0,2360.0,1556.63,803.37,ลูกค้าประจำ,เก็บเงินปลายทาง,5
ORD00814,2024-07-19,ภาคตะวันออก,จันทบุรี,Lazada,อิเล็กทรอนิกส์,ลำโพงบลูทูธ,1,1590,0.15,1351.5,914.33,437.17,ลูกค้าประจำ,โอนผ่านแอป,3
ORD00286,2025-09-17,ภาคกลาง,นครปฐม,Lazada,แฟชั่น,กางเกงยีนส์,1,890,0.15,847.28,549.65,297.63,ลูกค้าใหม่,เงินสด,5
ORD00889,2025-09-03,ภาคตะวันออก,ระยอง,เว็บไซต์,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0,2788.8,1852.72,936.08,ลูกค้าประจำ,โอนผ่านแอป,5
ORD02333,2024-11-24,ภาคตะวันออก,ระยอง,หน้าร้าน,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,2,2590,0,5180.0,3883.62,1296.38,ลูกค้าใหม่,เงินสด,4
ORD00468,2024-03-05,ภาคเหนือ,พิษณุโลก,Shopee,ความงาม,ลิปสติก,3,350,0.1,945.0,719.94,225.06,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD02666,2025-12-09,ภาคตะวันออก,ระยอง,Lazada,แฟชั่น,กระเป๋าเป้,2,990,0.15,1884.96,1444.76,440.2,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD02056,2025-09-13,ภาคกลาง,ปทุมธานี,หน้าร้าน,ความงาม,ครีมกันแดด,1,450,0.05,478.8,334.98,143.82,ลูกค้าประจำ,บัตรเครดิต,3
ORD02549,2025-10-19,ภาคเหนือ,พิษณุโลก,Shopee,แฟชั่น,เสื้อยืด,1,290,0,324.8,161.63,163.17,,โอนผ่านแอป,5
ORD02503,2024-10-22,ภาคกลาง,ปทุมธานี,LINE Shopping,คอมพิวเตอร์,"จอมอนิเตอร์ 24""",1,4290,0.05,4075.5,2870.58,1204.92,ลูกค้าใหม่,บัตรเครดิต,4
ORD00673,2025-11-09,ภาคกลาง,นนทบุรี,Lazada,คอมพิวเตอร์,คีย์บอร์ดแมคคานิคอล,1,2490,0,2788.8,1669.37,1119.43,ลูกค้าประจำ,บัตรเครดิต,3
ORD00658,2024-04-28,ภาคกลาง,นนทบุรี,หน้าร้าน,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,2,4990,0,9980.0,6666.76,3313.24,ลูกค้าประจำ,เก็บเงินปลายทาง,4
ORD01110,2024-07-09,ภาคกลาง,นนทบุรี,หน้าร้าน,ความงาม,ครีมกันแดด,1,450,0,450.0,299.03,150.97,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD01793,2025-04-22,ภาคกลาง,ปทุมธานี,เว็บไซต์,แฟชั่น,กระเป๋าเป้,2,990,0.15,1884.96,1137.44,747.52,ลูกค้าประจำ,เงินสด,5
ORD01340,2025-06-28,ภาคเหนือ,พิษณุโลก,Shopee,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,1,590,0,660.8,377.64,283.16,ลูกค้าใหม่,บัตรเครดิต,3
ORD01397,2024-05-10,ภาคกลาง,นครปฐม,Lazada,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,1,590,0,590.0,383.89,206.11,ลูกค้าใหม่,เงินสด,4
ORD01572,2025-07-14,ภาคตะวันออก,จันทบุรี,หน้าร้าน,แฟชั่น,กางเกงยีนส์,1,890,0.05,946.96,634.74,312.22,ลูกค้าประจำ,โอนผ่านแอป,3
ORD01553,2024-06-30,ภาคตะวันออก,ชลบุรี,หน้าร้าน,เครื่องใช้ในบ้าน,หม้อทอดไร้น้ำมัน,1,2590,0.05,2460.5,1758.97,701.53,ลูกค้าใหม่,เงินสด,3
ORD02585,2025-12-02,ภาคกลาง,นครปฐม,Lazada,ความงาม,ลิปสติก,2,350,0.05,744.8,471.56,273.24,ลูกค้าประจำ,บัตรเครดิต,4
ORD01934,2025-05-18,ภาคเหนือ,เชียงใหม่,Lazada,อิเล็กทรอนิกส์,พาวเวอร์แบงก์,2,690,0.1,1391.04,813.14,577.9,ลูกค้าใหม่,โอนผ่านแอป,4
ORD02703,2025-10-20,ภาคเหนือ,เชียงราย,หน้าร้าน,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,1,4990,0,5588.8,3187.43,2401.37,ลูกค้าประจำ,บัตรเครดิต,4
ORD02797,2024-09-18,ภาคเหนือ,พิษณุโลก,หน้าร้าน,ความงาม,เซรั่มบำรุงผิว,1,790,0,790.0,442.98,347.02,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD00258,2025-10-24,ภาคกลาง,นนทบุรี,LINE Shopping,แฟชั่น,เสื้อยืด,3,290,0.15,828.24,480.05,348.19,ลูกค้าประจำ,เงินสด,3
ORD00284,2025-07-29,ภาคอีสาน,อุบลราชธานี,Lazada,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,3,4990,0.05,15928.08,9227.43,6700.65,ลูกค้าประจำ,บัตรเครดิต,5
ORD00421,2025-12-29,ภาคเหนือ,เชียงราย,Shopee,ความงาม,ลิปสติก,1,350,0.05,372.4,204.83,167.57,ลูกค้าใหม่,เงินสด,5
ORD00743,2024-01-04,ภาคตะวันออก,ชลบุรี,Shopee,คอมพิวเตอร์,SSD 1TB,2,2190,0,4380.0,2600.51,1779.49,ลูกค้าประจำ,โอนผ่านแอป,4
ORD00577,2025-05-31,ภาคกลาง,นนทบุรี,เว็บไซต์,อิเล็กทรอนิกส์,สมาร์ทวอทช์,1,3490,0.05,3713.36,1939.68,1773.68,ลูกค้าประจำ,เงินสด,4
ORD02342,2024-07-29,ภาคกลาง,นครปฐม,หน้าร้าน,คอมพิวเตอร์,"จอมอนิเตอร์ 24""",4,4290,0,17160.0,10913.27,6246.73,ลูกค้าใหม่,เก็บเงินปลายทาง,5
ORD00707,2024-09-20,ภาคอีสาน,อุบลราชธานี,หน้าร้าน,ความงาม,ครีมกันแดด,3,450,0,1350.0,797.56,552.44,ลูกค้าใหม่,โอนผ่านแอป,5
ORD01204,2025-10-14,ภาคกลาง,นนทบุรี,Lazada,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,1,590,0.05,627.76,432.67,195.09,ลูกค้าใหม่,บัตรเครดิต,3
ORD02815,2024-12-22,ภาคกลาง,ปทุมธานี,เว็บไซต์,เครื่องใช้ในบ้าน,เครื่องฟอกอากาศ,1,4990,0.15,4241.5,3033.25,1208.25,ลูกค้าประจำ,เงินสด,5
ORD02749,2025-02-14,ภาคกลาง,นครปฐม,Shopee,แฟชั่น,รองเท้าผ้าใบ,3,1890,0,6350.4,3933.86,2416.54,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD01404,2025-08-04,ภาคกลาง,นครปฐม,หน้าร้าน,ความงาม,เซรั่มบำรุงผิว,1,790,0,884.8,495.38,389.42,ลูกค้าประจำ,เงินสด,3
ORD02082,2024-02-07,ภาคกลาง,ปทุมธานี,Shopee,เครื่องใช้ในบ้าน,กาต้มน้ำไฟฟ้า,2,590,0.15,1003.0,698.62,304.38,ลูกค้าใหม่,เก็บเงินปลายทาง,4
ORD01086,2025-04-01,ภาคเหนือ,เชียงราย,LINE Shopping,ความงาม,เซรั่มบำรุงผิว,1,790,0.15,752.08,463.81,288.27,ลูกค้าใหม่,เงินสด,3
