employee_id,department,position,gender,age,education,years_at_company,monthly_salary,performance_score,job_satisfaction,overtime,training_hours,work_mode,attrition
EMP0369,ขาย,พนักงานขาย,หญิง,33,ปริญญาตรี,3,20700,2.6,1,มี,27,ออฟฟิศ,ลาออก
EMP0065,IT,Developer,ชาย,31,ปริญญาตรี,3,36300,3.1,2,ไม่มี,5,ออฟฟิศ,อยู่ต่อ
EMP0226,บุคคล,เจ้าหน้าที่ HR,หญิง,37,ปวส.,4,22700,3.2,2,ไม่มี,59,WFH,ลาออก
EMP0703,IT,Developer,หญิง,41,ปริญญาตรี,8,36500,4.8,2,ไม่มี,56,ออฟฟิศ,อยู่ต่อ
EMP0169,ขาย,พนักงานขาย,หญิง,36,ปริญญาตรี,2,20400,4.0,5,มี,15,Hybrid,อยู่ต่อ
EMP0665,IT,Developer,หญิง,40,ปวส.,6,36400,,5,ไม่มี,,ออฟฟิศ,อยู่ต่อ
EMP0589,การตลาด,Marketing Executive,ชาย,37,ปริญญาตรี,5,26500,3.0,3,ไม่มี,7,Hybrid,อยู่ต่อ
EMP0553,IT,Developer,ชาย,34,ปริญญาตรี,3,37000,3.7,4,ไม่มี,50,WFH,อยู่ต่อ
EMP0035,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,27,ปริญญาตรี,1,15300,3.7,4,มี,50,WFH,ลาออก
EMP0159,บัญชี,เจ้าหน้าที่บัญชี,หญิง,36,ปวส.,2,21100,2.7,3,มี,8,ออฟฟิศ,อยู่ต่อ
EMP0752,บัญชี,นักวิเคราะห์การเงิน,ชาย,38,ปริญญาตรี,5,48300,3.3,3,มี,49,ออฟฟิศ,อยู่ต่อ
EMP0227,บุคคล,เจ้าหน้าที่ HR,ชาย,29,ปริญญาตรี,2,24400,2.7,3,ไม่มี,8,ออฟฟิศ,อยู่ต่อ
EMP0438,ขาย,ผู้จัดการฝ่ายขาย,หญิง,44,ปริญญาตรี,11,77400,3.6,2,ไม่มี,49,ออฟฟิศ,ลาออก
EMP0205,บุคคล,เจ้าหน้าที่ HR,ชาย,25,ปริญญาตรี,0,20000,2.8,1,ไม่มี,1,ออฟฟิศ,ลาออก
EMP0042,IT,Developer,หญิง,31,ปวส.,7,39000,2.8,4,ไม่มี,54,WFH,อยู่ต่อ
EMP0621,ขาย,หัวหน้าทีมขาย,หญิง,42,ปริญญาตรี,13,45700,3.9,3,ไม่มี,58,Hybrid,อยู่ต่อ
EMP0681,ขาย,พนักงานขาย,หญิง,28,ปริญญาโท,5,23900,2.7,3,มี,9,ออฟฟิศ,อยู่ต่อ
EMP0631,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,24,ปวส.,2,17300,2.7,4,ไม่มี,37,ออฟฟิศ,อยู่ต่อ
EMP0756,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,34,ปริญญาตรี,3,18000,3.2,3,ไม่มี,21,Hybrid,อยู่ต่อ
EMP0006,บัญชี,เจ้าหน้าที่บัญชี,ชาย,36,ปริญญาตรี,6,25100,3.2,4,ไม่มี,59,ออฟฟิศ,อยู่ต่อ
EMP0627,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,23,ปวส.,0,14700,3.9,4,ไม่มี,32,ออฟฟิศ,อยู่ต่อ
EMP0584,ขาย,พนักงานขาย,ชาย,31,ปริญญาตรี,2,21900,3.5,5,ไม่มี,21,ออฟฟิศ,อยู่ต่อ
EMP0529,ปฏิบัติการ,ผู้จัดการโรงงาน,หญิง,35,ปวส.,13,59300,3.7,5,ไม่มี,34,Hybrid,อยู่ต่อ
EMP0485,บัญชี,เจ้าหน้าที่บัญชี,หญิง,39,ปริญญาตรี,6,29100,2.9,2,ไม่มี,55,ออฟฟิศ,อยู่ต่อ
EMP0761,ขาย,ผู้จัดการฝ่ายขาย,ชาย,32,ปริญญาตรี,7,64800,3.8,1,ไม่มี,12,ออฟฟิศ,อยู่ต่อ
EMP0775,ขาย,หัวหน้าทีมขาย,ชาย,37,ปริญญาโท,7,37600,3.5,3,ไม่มี,14,Hybrid,อยู่ต่อ
EMP0594,IT,Developer,ชาย,44,ปริญญาตรี,10,42500,2.6,4,ไม่มี,7,Hybrid,อยู่ต่อ
EMP0778,ปฏิบัติการ,หัวหน้างาน,หญิง,31,ปริญญาตรี,3,29000,4.6,1,ไม่มี,2,ออฟฟิศ,อยู่ต่อ
EMP0124,ขาย,พนักงานขาย,หญิง,31,ปริญญาตรี,2,21400,4.8,3,มี,1,WFH,ลาออก
EMP0558,การตลาด,Marketing Executive,หญิง,35,ปริญญาตรี,8,31200,4.4,1,ไม่มี,18,ออฟฟิศ,ลาออก
EMP0312,ขาย,พนักงานขาย,หญิง,38,ปริญญาตรี,4,22200,3.8,2,ไม่มี,8,ออฟฟิศ,อยู่ต่อ
EMP0407,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,32,ปริญญาตรี,4,18100,4.7,2,ไม่มี,56,ออฟฟิศ,ลาออก
EMP0304,ขาย,หัวหน้าทีมขาย,ชาย,36,ปริญญาตรี,10,45100,4.0,3,ไม่มี,27,Hybrid,อยู่ต่อ
EMP0123,IT,Data Analyst,ชาย,29,ปริญญาตรี,7,76200,3.2,5,ไม่มี,43,Hybrid,อยู่ต่อ
EMP0354,ขาย,พนักงานขาย,ชาย,35,ปริญญาตรี,5,24800,1.9,4,มี,17,ออฟฟิศ,อยู่ต่อ
EMP0310,ขาย,พนักงานขาย,ชาย,29,ปริญญาตรี,4,19900,4.1,2,มี,10,Hybrid,ลาออก
EMP0410,ปฏิบัติการ,หัวหน้างาน,หญิง,41,ปริญญาตรี,10,42500,2.9,5,ไม่มี,31,ออฟฟิศ,อยู่ต่อ
EMP0179,IT,Data Analyst,ชาย,33,ปริญญาตรี,9,83700,3.2,3,มี,31,ออฟฟิศ,ลาออก
EMP0270,การตลาด,ผู้จัดการการตลาด,ชาย,39,ปริญญาตรี,10,77900,4.0,3,มี,32,ออฟฟิศ,อยู่ต่อ
EMP0241,ขาย,หัวหน้าทีมขาย,หญิง,29,ปริญญาตรี,6,39600,3.4,5,ไม่มี,52,ออฟฟิศ,อยู่ต่อ
EMP0298,การตลาด,Marketing Executive,ชาย,34,ปริญญาตรี,7,31500,3.4,2,มี,16,Hybrid,อยู่ต่อ
EMP0702,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,35,ปริญญาตรี,8,21800,4.4,1,ไม่มี,11,WFH,ลาออก
EMP0538,ขาย,หัวหน้าทีมขาย,ชาย,37,ปวส.,4,42300,4.3,5,ไม่มี,25,Hybrid,อยู่ต่อ
EMP0371,บุคคล,Recruiter,ชาย,40,ปริญญาตรี,7,42300,3.3,1,ไม่มี,15,Hybrid,อยู่ต่อ
EMP0632,ปฏิบัติการ,ผู้จัดการโรงงาน,หญิง,39,ปริญญาตรี,9,60600,3.3,1,มี,49,Hybrid,ลาออก
EMP0481,ขาย,พนักงานขาย,หญิง,39,ปวส.,6,21900,3.5,1,มี,5,ออฟฟิศ,อยู่ต่อ
EMP0450,ขาย,พนักงานขาย,ชาย,40,ปริญญาตรี,7,24200,2.3,4,มี,28,Hybrid,อยู่ต่อ
EMP0405,ปฏิบัติการ,หัวหน้างาน,ชาย,43,ปวส.,10,40800,4.2,4,มี,52,Hybrid,อยู่ต่อ
EMP0055,การตลาด,ผู้จัดการการตลาด,หญิง,43,ปริญญาตรี,9,86600,3.0,1,ไม่มี,10,WFH,ลาออก
EMP0224,ขาย,พนักงานขาย,ชาย,35,ปวส.,6,21500,3.3,5,ไม่มี,33,ออฟฟิศ,อยู่ต่อ
EMP0058,ปฏิบัติการ,หัวหน้างาน,หญิง,34,ปริญญาตรี,7,32700,3.5,3,ไม่มี,57,ออฟฟิศ,อยู่ต่อ
EMP0520,ปฏิบัติการ,หัวหน้างาน,หญิง,35,ปริญญาตรี,8,38300,3.6,5,มี,28,ออฟฟิศ,อยู่ต่อ
EMP0251,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,39,ปริญญาตรี,9,22400,4.3,1,ไม่มี,57,Hybrid,ลาออก
EMP0228,IT,Developer,หญิง,28,ปริญญาตรี,2,34300,3.8,3,มี,58,ออฟฟิศ,ลาออก
EMP0326,ขาย,หัวหน้าทีมขาย,หญิง,38,ปริญญาตรี,9,42000,2.4,4,ไม่มี,0,ออฟฟิศ,อยู่ต่อ
EMP0274,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,38,ปริญญาโท,6,21000,2.2,1,ไม่มี,40,ออฟฟิศ,อยู่ต่อ
EMP0150,IT,Developer,ชาย,32,ปริญญาตรี,6,41000,3.4,2,มี,17,WFH,อยู่ต่อ
EMP0320,IT,Developer,ชาย,32,ปวส.,0,33700,3.2,4,ไม่มี,27,ออฟฟิศ,ลาออก
EMP0769,ปฏิบัติการ,หัวหน้างาน,ชาย,37,ปริญญาตรี,7,34000,4.0,1,ไม่มี,33,Hybrid,อยู่ต่อ
EMP0607,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,29,ปริญญาตรี,4,17300,3.4,5,ไม่มี,44,Hybrid,อยู่ต่อ
EMP0021,การตลาด,Marketing Executive,ชาย,25,,2,23400,3.5,1,มี,44,ออฟฟิศ,อยู่ต่อ
EMP0001,ขาย,พนักงานขาย,หญิง,36,ปริญญาตรี,7,26200,4.0,4,ไม่มี,17,ออฟฟิศ,อยู่ต่อ
EMP0245,บัญชี,ผู้จัดการบัญชี,ชาย,44,ปริญญาโท,13,94000,3.5,1,มี,9,ออฟฟิศ,อยู่ต่อ
EMP0727,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,29,ปวส.,3,16500,2.5,5,มี,33,ออฟฟิศ,อยู่ต่อ
EMP0005,IT,Developer,ชาย,32,ปริญญาตรี,4,39500,3.1,3,มี,28,ออฟฟิศ,ลาออก
EMP0391,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,36,ปริญญาโท,6,21200,1.8,1,ไม่มี,17,ออฟฟิศ,อยู่ต่อ
EMP0759,IT,Developer,ชาย,37,ปวส.,6,37500,4.1,4,ไม่มี,59,ออฟฟิศ,อยู่ต่อ
EMP0122,IT,Developer,หญิง,37,ปริญญาโท,3,35300,4.4,1,ไม่มี,44,ออฟฟิศ,อยู่ต่อ
EMP0263,บุคคล,ผู้จัดการ HR,หญิง,36,ปริญญาตรี,12,79600,3.6,4,มี,39,ออฟฟิศ,อยู่ต่อ
EMP0283,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,27,ปริญญาตรี,4,18800,2.5,5,ไม่มี,52,ออฟฟิศ,อยู่ต่อ
EMP0100,บุคคล,เจ้าหน้าที่ HR,หญิง,37,ปริญญาตรี,6,27800,3.6,3,ไม่มี,38,Hybrid,อยู่ต่อ
EMP0030,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,38,ปริญญาตรี,8,19700,4.5,4,มี,22,Hybrid,อยู่ต่อ
EMP0701,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,31,ปริญญาตรี,2,15500,2.9,3,ไม่มี,20,Hybrid,อยู่ต่อ
EMP0760,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,36,ปริญญาตรี,2,17100,2.9,1,ไม่มี,2,Hybrid,อยู่ต่อ
EMP0236,บัญชี,เจ้าหน้าที่บัญชี,ชาย,42,ปริญญาตรี,10,32100,3.2,3,มี,58,ออฟฟิศ,ลาออก
EMP0044,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,32,ปริญญาตรี,6,21100,4.4,1,ไม่มี,53,Hybrid,ลาออก
EMP0204,ขาย,พนักงานขาย,หญิง,35,ปริญญาตรี,5,24400,4.2,1,ไม่มี,43,Hybrid,อยู่ต่อ
EMP0706,บุคคล,Recruiter,ชาย,42,ปริญญาตรี,10,55600,3.4,1,มี,0,Hybrid,อยู่ต่อ
EMP0293,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,30,ปวส.,6,17900,1.8,1,มี,36,ออฟฟิศ,อยู่ต่อ
EMP0375,ขาย,พนักงานขาย,หญิง,36,ปริญญาตรี,8,24600,2.9,4,ไม่มี,18,ออฟฟิศ,อยู่ต่อ
EMP0524,ขาย,พนักงานขาย,หญิง,32,ปริญญาตรี,5,23400,3.3,1,ไม่มี,1,Hybrid,อยู่ต่อ
EMP0173,ปฏิบัติการ,หัวหน้างาน,ชาย,32,ปวส.,8,39600,3.4,1,ไม่มี,57,ออฟฟิศ,อยู่ต่อ
EMP0136,บุคคล,ผู้จัดการ HR,ชาย,40,ปริญญาตรี,11,69100,2.5,4,ไม่มี,36,ออฟฟิศ,อยู่ต่อ
EMP0402,ขาย,พนักงานขาย,หญิง,38,ปริญญาตรี,9,25400,4.7,3,ไม่มี,55,ออฟฟิศ,อยู่ต่อ
EMP0245,บัญชี,ผู้จัดการบัญชี,ชาย,44,ปริญญาโท,13,94000,3.5,1,มี,9,ออฟฟิศ,อยู่ต่อ
EMP0754,บุคคล,Recruiter,ชาย,42,ปริญญาตรี,8,48900,3.3,5,มี,41,ออฟฟิศ,อยู่ต่อ
EMP0258,IT,Developer,ชาย,39,ปริญญาตรี,5,34300,4.1,5,มี,,ออฟฟิศ,อยู่ต่อ
EMP0685,บุคคล,ผู้จัดการ HR,ชาย,46,ปริญญาตรี,12,73000,2.0,3,มี,35,Hybrid,อยู่ต่อ
EMP0192,บัญชี,เจ้าหน้าที่บัญชี,ชาย,29,ปริญญาตรี,4,22900,2.9,2,ไม่มี,27,Hybrid,ลาออก
EMP0648,บุคคล,เจ้าหน้าที่ HR,หญิง,29,ปริญญาตรี,4,21700,3.7,1,ไม่มี,35,Hybrid,ลาออก
EMP0343,ขาย,ผู้จัดการฝ่ายขาย,ชาย,41,ปริญญาตรี,12,65000,2.8,2,ไม่มี,12,Hybrid,อยู่ต่อ
EMP0138,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,36,ปริญญาตรี,6,20600,3.3,4,มี,16,ออฟฟิศ,อยู่ต่อ
EMP0077,บัญชี,เจ้าหน้าที่บัญชี,ชาย,38,ปริญญาตรี,5,25300,3.8,1,มี,42,ออฟฟิศ,ลาออก
EMP0448,ขาย,พนักงานขาย,ชาย,36,ปริญญาตรี,4,20000,5,1,มี,35,Hybrid,อยู่ต่อ
EMP0076,ปฏิบัติการ,ผู้จัดการโรงงาน,ชาย,42,ปริญญาตรี,14,61000,2.5,4,ไม่มี,58,Hybrid,อยู่ต่อ
EMP0004,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,36,ปริญญาตรี,2,15600,2.9,5,มี,42,ออฟฟิศ,อยู่ต่อ
EMP0480,การตลาด,Marketing Executive,หญิง,30,ปริญญาตรี,2,25800,3.1,4,ไม่มี,27,WFH,อยู่ต่อ
EMP0740,ขาย,ผู้จัดการฝ่ายขาย,ชาย,46,ปริญญาตรี,17,78300,2.9,3,ไม่มี,21,ออฟฟิศ,อยู่ต่อ
EMP0692,ขาย,ผู้จัดการฝ่ายขาย,หญิง,40,ปริญญาตรี,9,68400,2.6,4,ไม่มี,4,Hybrid,อยู่ต่อ
EMP0780,ขาย,พนักงานขาย,ชาย,37,ปริญญาตรี,7,23300,4.0,2,ไม่มี,36,ออฟฟิศ,อยู่ต่อ
EMP0339,IT,Developer,หญิง,28,ปริญญาตรี,4,31400,3.2,2,ไม่มี,8,ออฟฟิศ,ลาออก
EMP0031,ขาย,พนักงานขาย,หญิง,33,ปริญญาโท,0,18200,3.2,3,ไม่มี,15,ออฟฟิศ,อยู่ต่อ
EMP0134,ขาย,พนักงานขาย,หญิง,34,ปวส.,0,18800,3.7,4,มี,36,ออฟฟิศ,ลาออก
EMP0192,บัญชี,เจ้าหน้าที่บัญชี,ชาย,29,ปริญญาตรี,4,22900,2.9,2,ไม่มี,27,Hybrid,ลาออก
EMP0096,บุคคล,Recruiter,หญิง,29,ปวส.,6,48900,3.2,1,ไม่มี,5,ออฟฟิศ,ลาออก
EMP0708,บัญชี,เจ้าหน้าที่บัญชี,ชาย,32,ปริญญาตรี,7,30100,3.5,1,มี,40,Hybrid,อยู่ต่อ
EMP0358,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,29,ปริญญาตรี,6,19600,3.9,2,ไม่มี,24,ออฟฟิศ,อยู่ต่อ
EMP0087,บัญชี,เจ้าหน้าที่บัญชี,หญิง,37,ปริญญาตรี,7,27600,3.0,3,มี,60,ออฟฟิศ,อยู่ต่อ
EMP0380,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,36,ปริญญาโท,3,17900,3.0,4,ไม่มี,15,ออฟฟิศ,อยู่ต่อ
EMP0612,ขาย,พนักงานขาย,ชาย,35,ปริญญาโท,5,22500,2.1,4,มี,54,ออฟฟิศ,อยู่ต่อ
EMP0105,IT,Developer,ชาย,31,ปริญญาตรี,4,33400,4.0,5,ไม่มี,40,ออฟฟิศ,อยู่ต่อ
EMP0334,IT,Developer,ชาย,38,ปริญญาโท,8,37600,2.9,2,ไม่มี,43,Hybrid,อยู่ต่อ
EMP0629,IT,Data Analyst,ชาย,44,ปริญญาตรี,13,87700,2.9,1,ไม่มี,30,ออฟฟิศ,ลาออก
EMP0777,IT,IT Manager,ชาย,42,ปริญญาตรี,12,169000,4.7,3,ไม่มี,13,Hybrid,อยู่ต่อ
EMP0510,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,31,ปริญญาโท,8,22700,2.8,1,ไม่มี,30,Hybrid,อยู่ต่อ
EMP0049,ขาย,พนักงานขาย,ชาย,34,ปริญญาตรี,6,24300,3.4,5,ไม่มี,6,ออฟฟิศ,อยู่ต่อ
EMP0465,บุคคล,เจ้าหน้าที่ HR,หญิง,36,ปริญญาตรี,8,24200,3.7,2,มี,3,Hybrid,อยู่ต่อ
EMP0586,ขาย,หัวหน้าทีมขาย,หญิง,39,ปวส.,5,41000,2.3,2,มี,45,ออฟฟิศ,อยู่ต่อ
EMP0548,การตลาด,Marketing Executive,หญิง,33,ปริญญาตรี,0,23700,3.8,2,ไม่มี,52,ออฟฟิศ,อยู่ต่อ
EMP0598,ปฏิบัติการ,พนักงานคลังสินค้า,หญิง,43,ปวส.,11,22800,4.0,3,ไม่มี,10,Hybrid,อยู่ต่อ
EMP0781,ขาย,พนักงานขาย,ชาย,28,ปริญญาตรี,0,19800,3.5,4,ไม่มี,17,Hybrid,อยู่ต่อ
EMP0171,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,25,ปริญญาตรี,0,14400,3.3,5,มี,22,Hybrid,อยู่ต่อ
EMP0678,ขาย,พนักงานขาย,หญิง,22,ปริญญาตรี,0,18300,2.5,4,มี,19,WFH,อยู่ต่อ
EMP0601,บัญชี,เจ้าหน้าที่บัญชี,ชาย,37,ปวส.,5,24200,4.1,4,มี,3,ออฟฟิศ,ลาออก
EMP0120,ขาย,พนักงานขาย,หญิง,35,ปวส.,7,21400,4.0,2,ไม่มี,5,ออฟฟิศ,อยู่ต่อ
EMP0128,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,37,ปริญญาตรี,6,17200,2.8,2,มี,27,Hybrid,อยู่ต่อ
EMP0575,ปฏิบัติการ,ผู้จัดการโรงงาน,ชาย,38,ปวส.,12,65700,3.6,4,มี,60,ออฟฟิศ,อยู่ต่อ
EMP0453,IT,Data Analyst,หญิง,32,ปริญญาตรี,7,63800,4.3,1,ไม่มี,,ออฟฟิศ,อยู่ต่อ
EMP0099,ปฏิบัติการ,หัวหน้างาน,ชาย,39,ปริญญาตรี,9,39000,3.5,3,ไม่มี,18,ออฟฟิศ,อยู่ต่อ
EMP0700,IT,Developer,ชาย,38,ปริญญาตรี,5,36600,2.9,3,ไม่มี,55,ออฟฟิศ,ลาออก
EMP0108,ขาย,พนักงานขาย,ชาย,38,ปริญญาตรี,4,23800,3.5,2,ไม่มี,9,ออฟฟิศ,อยู่ต่อ
EMP0579,ปฏิบัติการ,หัวหน้างาน,หญิง,33,ปริญญาตรี,8,40000,3.1,5,ไม่มี,59,ออฟฟิศ,อยู่ต่อ
EMP0446,IT,Developer,หญิง,35,ปวส.,6,40300,4.0,4,ไม่มี,15,Hybrid,อยู่ต่อ
EMP0458,การตลาด,ผู้จัดการการตลาด,หญิง,38,ปริญญาโท,13,79800,3.3,4,ไม่มี,12,ออฟฟิศ,อยู่ต่อ
EMP0428,ขาย,ผู้จัดการฝ่ายขาย,หญิง,36,ปริญญาตรี,9,57400,3.2,5,ไม่มี,5,ออฟฟิศ,อยู่ต่อ
EMP0663,บัญชี,เจ้าหน้าที่บัญชี,ชาย,39,ปวส.,8,26400,3.6,1,มี,51,Hybrid,ลาออก
EMP0628,IT,Developer,ชาย,38,ปริญญาตรี,4,33700,3.0,3,มี,46,WFH,อยู่ต่อ
EMP0523,บุคคล,เจ้าหน้าที่ HR,หญิง,33,ปริญญาตรี,5,25800,3.7,4,ไม่มี,56,Hybrid,อยู่ต่อ
EMP0476,บุคคล,เจ้าหน้าที่ HR,หญิง,29,ปริญญาโท,0,21500,3.6,2,มี,55,ออฟฟิศ,อยู่ต่อ
EMP0782,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,37,ปริญญาตรี,7,20500,3.9,1,ไม่มี,26,ออฟฟิศ,ลาออก
EMP0307,การตลาด,ผู้จัดการการตลาด,หญิง,38,ปริญญาตรี,13,80900,4.4,5,ไม่มี,46,ออฟฟิศ,ลาออก
EMP0003,บัญชี,เจ้าหน้าที่บัญชี,ชาย,36,ปริญญาตรี,4,25200,4.7,3,มี,37,ออฟฟิศ,อยู่ต่อ
EMP0280,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,29,ปริญญาตรี,4,18600,3.7,1,ไม่มี,4,ออฟฟิศ,อยู่ต่อ
EMP0776,บัญชี,เจ้าหน้าที่บัญชี,ชาย,29,ปริญญาตรี,1,23900,4.2,3,ไม่มี,37,ออฟฟิศ,อยู่ต่อ
EMP0174,IT,Developer,ชาย,31,ปริญญาตรี,1,34500,3.1,3,ไม่มี,9,WFH,อยู่ต่อ
EMP0798,IT,Data Analyst,ชาย,39,ปวส.,15,92300,3.5,1,ไม่มี,3,ออฟฟิศ,อยู่ต่อ
EMP0462,IT,Developer,ชาย,33,,5,37100,3.4,3,ไม่มี,10,ออฟฟิศ,อยู่ต่อ
EMP0452,ขาย,พนักงานขาย,หญิง,33,ปวส.,0,16700,3.2,1,ไม่มี,38,ออฟฟิศ,อยู่ต่อ
EMP0642,ปฏิบัติการ,หัวหน้างาน,ชาย,47,ปริญญาตรี,13,40300,3.6,1,ไม่มี,42,Hybrid,อยู่ต่อ
EMP0164,ปฏิบัติการ,พนักงานคลังสินค้า,ชาย,30,ปริญญาตรี,0,16600,1.5,4,ไม่มี,21,ออฟฟิศ,อยู่ต่อ
EMP0084,บุคคล,เจ้าหน้าที่ HR,ชาย,29,ปวส.,5,24800,1.9,3,มี,11,Hybrid,อยู่ต่อ
EMP0545,ขาย,หัวหน้าทีมขาย,หญิง,30,ปวส.,8,48500,2.4,3,ไม่มี,55,Hybrid,อยู่ต่อ
EMP0064,บัญชี,เจ้าหน้าที่บัญชี,หญิง,36,ปวส.,5,27700,2.7,3,ไม่มี,16,ออฟฟิศ,อยู่ต่อ
EMP0704,การตลาด,Marketing Executive,หญิง,24,ปริญญาตรี,0,22900,4.5,3,มี,28,Hybrid,ลาออก
EMP0460,ปฏิบัติการ,ผู้จัดการโรงงาน,หญิง,43,ปริญญาตรี,13,63400,2.8,1,มี,27,ออฟฟิศ,ลาออก
EMP0583,IT,Data Analyst,หญิง,41,ปริญญาตรี,11,72300,4.4,4,ไม่มี,48,Hybrid,ลาออก
EMP0203,ปฏิบัติการ,ผู้จัดการโรงงาน,ชาย,43,ปริญญาตรี,9,52900,4.6,5,ไม่มี,40,Hybrid,อยู่ต่อ
