app_id,name,release_date,primary_genre,developer_tier,price_usd,price_range,is_free,early_access,multiplayer,thai_language,steam_deck,owners_estimate,positive_reviews,negative_reviews,review_pct,avg_playtime_hours,peak_ccu,estimated_revenue_usd,success
184619,Shadow League Remastered II: Origins,2024-12-02,RPG,Indie,24.99,$20-40,Paid,No,No,No,Playable,6800,154,36,81.4,507.7,13,56456,Not hit
112876,Frozen Ocean: Origins,2025-01-27,Horror,Indie,0.99,< $5,Paid,No,No,No,Unsupported,3100,50,25,67.4,6.7,11,1225,Not hit
141514,Pixel Chronicles: Origins,2024-06-02,Simulation,Indie,4.99,< $5,Paid,No,No,Yes,Unsupported,43500,599,161,78.9,62.2,137,96044,Not hit
113727,Void Factory,2024-06-19,Adventure,Indie,19.99,$10-20,Paid,No,No,No,Verified,6100,187,47,80.1,10.0,20,45686,Not hit
103811,Dark Empire,2023-07-06,RPG,Indie,19.99,$10-20,Paid,No,No,No,Verified,4800,129,43,75.2,97.1,5,40975,Not hit
113986,Iron Hunter Deluxe,2021-03-13,Action,AAA,59.99,$40+,Paid,No,No,Yes,Playable,2897700,47955,18650,72.0,24.5,5592,62816092,Not hit
116909,Broken Odyssey 2,2025-06-01,Strategy,AA,24.99,$20-40,Paid,No,No,No,Playable,310500,4996,1536,76.5,49.2,1207,3305703,Not hit
142809,Tiny Tower Deluxe,2025-05-25,Horror,Indie,9.99,$5-10,Paid,Yes,Yes,No,Playable,102400,1481,952,60.9,7.2,178,376009,Not hit
190058,Shadow Village Remastered 2,2017-08-02,Simulation,Indie,19.99,$10-20,Paid,No,No,No,Verified,8700,215,83,72.4,20.1,12,58524,Not hit
111692,Tiny Horizon,2019-01-20,Horror,Indie,19.99,$10-20,Paid,No,Yes,No,Unsupported,1000,19,17,54.2,2.5,2,8484,Not hit
104033,Hidden Racer,2017-07-28,Action,Indie,9.99,$5-10,Paid,No,No,No,Playable,200,3,1,79.6,10.2,0,843,Not hit
164972,Star Island II,2024-08-21,Adventure,Indie,14.99,$10-20,Paid,No,No,No,Verified,17900,372,46,89.1,15.3,45,108372,Not hit
152244,Mystic Village 2,2021-05-16,Puzzle,Indie,14.99,$10-20,Paid,No,No,No,Unsupported,89700,2010,509,79.8,9.2,234,528978,Not hit
158497,Cyber Empire Remastered,2023-07-31,Adventure,AA,0.0,Free,Free,No,No,No,Playable,64400,1576,966,62.0,17.2,121,95501,Not hit
116428,Dark Arena,2024-01-04,Adventure,Indie,9.99,$5-10,Paid,No,No,Yes,,6200,94,21,82.4,6.3,17,23183,Not hit
167673,Golden Kingdom 2,2019-09-04,Strategy,Indie,9.99,$5-10,Paid,No,No,No,Playable,18500,267,126,68.0,77.7,72,83504,Not hit
152133,Dragon Empire Remastered Remastered,2017-03-02,Strategy,AA,24.99,$20-40,Paid,No,No,No,Verified,966800,18833,6312,74.9,35.7,953,9318042,Not hit
190502,Eternal Island Deluxe,2019-12-19,Action,Indie,14.99,$10-20,Paid,Yes,Yes,No,Unsupported,4800,110,37,75.1,40.0,12,26555,Not hit
176331,Broken Racer: Origins 2,2024-08-29,Racing,Indie,0.0,Free,Free,No,Yes,,Playable,19700,450,299,60.2,16.9,42,5471,Not hit
163862,Hidden Survivors: Origins II,2019-01-29,Simulation,Indie,19.99,$10-20,Paid,No,No,No,Playable,1600,35,11,76.3,50.4,1,13086,Not hit
115799,Golden League: Origins Deluxe,2024-10-13,RPG,Indie,14.99,$10-20,Paid,Yes,Yes,No,Unsupported,200,3,2,62.1,64.5,1,1206,Not hit
109435,Steel Kingdom 2,2024-04-23,Simulation,Indie,0.99,< $5,Paid,No,No,No,Playable,5400,74,31,71.1,20.1,5,1951,Not hit
190761,Neon Odyssey: Origins: Origins,2021-07-01,Simulation,Indie,19.99,$10-20,Paid,No,No,No,Verified,1500,25,19,57.9,72.5,3,10576,Not hit
134410,Silent Empire,2019-01-06,Casual,Indie,9.99,$5-10,Paid,No,No,No,Playable,5800,71,33,68.5,18.2,9,25170,Not hit
156425,Wild Island Remastered 2,2016-11-18,RPG,AA,19.99,$10-20,Paid,No,No,No,Playable,342700,5952,2479,70.6,36.6,245,3076664,Not hit
183657,Solar Protocol: Origins: Origins,2022-10-24,Action,Indie,9.99,$5-10,Paid,Yes,No,No,Verified,208100,5780,789,88.0,5.1,245,708883,Hit
178736,Wild Village Deluxe,2019-12-04,Horror,AA,29.99,$20-40,Paid,No,No,No,Verified,161300,3218,887,78.4,3.3,367,1553139,Not hit
105439,Dark Village,2025-11-16,Simulation,AAA,69.99,$40+,Paid,No,No,No,Unsupported,2026500,44902,9991,81.8,28.1,8008,56962449,Hit
121978,Golden Chronicles Remastered,2018-06-28,Action,Indie,4.99,< $5,Paid,No,No,No,Playable,23000,367,170,68.4,8.4,80,37738,Not hit
168487,Dark Tower Deluxe,2020-04-14,Racing,Indie,0.0,Free,Free,No,Yes,No,Playable,18500,321,157,67.2,22.4,42,13190,Not hit
174999,Mystic Legends Deluxe,2023-04-22,Adventure,AA,39.99,$20-40,Paid,No,No,No,Playable,78900,1046,270,79.5,8.7,187,1075158,Not hit
123421,Golden Colony Remastered,2025-04-28,RPG,Indie,0.99,< $5,Paid,No,No,No,Verified,3600,58,12,83.5,73.8,4,1584,Not hit
181178,Mystic Colony Deluxe,2025-02-02,Adventure,Indie,2.99,< $5,Paid,No,No,No,Playable,44700,1150,253,82.0,9.7,71,47939,Not hit
187653,Cyber Survivors Remastered Remastered,2025-01-17,Casual,Indie,14.99,$10-20,Paid,No,No,No,Unsupported,1700,52,10,84.0,8.4,4,8793,Not hit
164898,Solar Kingdom: Origins,2024-07-18,Adventure,AA,24.99,$20-40,Paid,No,No,No,Playable,16800,401,176,69.6,24.1,43,168024,Not hit
166859,Mystic Racer: Origins II: Origins,2025-11-27,Action,Indie,9.99,$5-10,Paid,No,Yes,No,Unsupported,1700,44,17,72.8,18.8,13,5758,Not hit
165416,Iron Racer II Deluxe,2020-07-03,Puzzle,Indie,0.99,< $5,Paid,No,No,No,Verified,200,3,3,53.5,2.3,0,63,Not hit
189614,Wild Horizon 2,2017-01-26,RPG,Indie,19.99,$10-20,Paid,No,No,No,Unsupported,11000,310,79,79.8,37.2,26,70826,Not hit
167562,Last Hunter Remastered Remastered,2024-10-31,Action,Indie,14.99,$10-20,Paid,No,Yes,Yes,Verified,165300,4486,1005,81.7,21.9,438,804377,Hit
177441,Lost Empire: Origins,2020-09-01,Action,Indie,14.99,$10-20,Paid,Yes,Yes,No,Playable,8100,154,102,60.5,4.9,49,52469,Not hit
149802,Silent Hunter Remastered,2021-10-29,RPG,Indie,9.99,$5-10,Paid,No,No,No,Verified,29100,776,209,78.8,59.6,35,124173,Not hit
116391,Mystic Tactics Deluxe,2017-11-14,Action,AA,39.99,$20-40,Paid,No,No,No,Playable,254800,5943,2548,70.0,11.2,596,4110182,Not hit
168783,Shadow Empire: Origins: Origins,2022-02-14,Strategy,Indie,9.99,$5-10,Paid,No,No,No,Playable,200,3,3,65.9,29.5,0,861,Not hit
163159,Tiny Frontier II II,2019-06-26,RPG,AAA,69.99,$40+,Paid,No,No,No,Playable,1045200,30646,3827,88.9,47.7,2479,24017313,Hit
130451,Broken Horizon Deluxe,2025-09-08,Puzzle,Indie,9.99,$5-10,Paid,No,No,No,Playable,1500,32,3,94.2,14.4,4,6009,Not hit
119647,Broken Protocol,2020-10-03,Adventure,Indie,4.99,< $5,Paid,No,No,No,Unsupported,500,14,5,74.0,17.3,1,1101,Not hit
126196,Dark Odyssey,2019-05-05,RPG,Indie,4.99,< $5,Paid,Yes,No,No,Verified,1200,28,10,75.4,41.6,0,2078,Not hit
148100,Frozen Tactics II,2019-02-16,Action,Indie,9.99,$5-10,Paid,No,Yes,No,Playable,18300,251,84,75.1,12.7,109,77271,Not hit
171299,Neon Odyssey 2 II,2023-02-04,RPG,AA,24.99,$20-40,Paid,No,No,No,Playable,55700,1807,273,86.9,67.6,156,579971,Not hit
171854,Golden Village: Origins Deluxe,2020-02-12,Casual,Indie,0.0,Free,Free,No,No,No,Playable,115500,2284,1601,58.8,6.6,209,158252,Not hit
161827,Last Survivors,2019-07-24,Action,Indie,9.99,$5-10,Paid,No,No,No,Unsupported,38800,1227,321,79.3,8.2,145,122574,Not hit
157276,Golden Protocol: Origins,2016-10-22,Casual,Indie,19.99,$10-20,Paid,No,No,No,Playable,40500,1284,201,86.5,9.3,123,268229,Not hit
124457,Dark Legends Deluxe: Origins,2021-09-21,Casual,Indie,24.99,$20-40,Paid,No,No,No,Playable,3100,45,37,55.4,11.0,9,32948,Not hit
163825,Iron Empire Remastered II,2022-01-13,Simulation,Indie,14.99,$10-20,Paid,No,No,No,Unsupported,1900,24,24,51.2,22.4,2,12808,Not hit
162900,Rogue Dungeon Deluxe,2022-12-02,RPG,Indie,4.99,< $5,Paid,No,Yes,No,Playable,103400,1685,312,84.4,97.3,561,179667,Hit
173630,Dark Empire: Origins: Origins,2024-11-20,Casual,Indie,24.99,$20-40,Paid,No,No,No,Playable,8100,146,60,70.9,7.4,28,65303,Not hit
169967,Shadow Dungeon Deluxe,2021-08-22,RPG,AAA,69.99,$40+,Paid,No,No,No,Verified,34724600,1108509,151161,88.0,42.8,126774,1035891654,Hit
157202,Rogue Island Remastered Remastered,2018-12-27,Strategy,AA,29.99,$20-40,Paid,No,No,No,Playable,131800,4179,670,86.2,42.6,269,1689733,Hit
178810,Neon Survivors: Origins,2025-04-04,Puzzle,AAA,49.99,$40+,Paid,No,No,No,Unsupported,132500,2985,1105,73.0,5.3,373,3006505,Not hit
146250,Shadow Tower: Origins,2017-12-11,Simulation,Indie,24.99,$20-40,Paid,No,Yes,No,Verified,9300,296,38,88.8,92.4,39,92457,Not hit
169486,Dragon Tower Remastered Remastered,2025-08-11,Horror,Indie,2.99,< $5,Paid,No,No,No,Playable,12400,384,100,79.4,10.7,26,14934,Not hit
156832,Wild Dungeon 2,2024-10-08,Action,Indie,9.99,$5-10,Paid,No,No,No,Playable,1900,46,19,71.7,19.3,1,6579,Not hit
150690,Lost League II II,2016-02-12,Simulation,AA,0.0,Free,Free,No,No,No,Playable,5167200,72272,25924,73.6,21.7,11911,8957805,Not hit
146472,Mystic Odyssey II: Origins,2022-08-03,Horror,AAA,59.99,$40+,Paid,No,No,No,Unsupported,95900,1932,1447,57.2,4.5,99,2030848,Not hit
180253,Lost Frontier 2,2019-01-19,Racing,AAA,59.99,$40+,Paid,No,No,No,Playable,374200,6061,1053,85.2,35.2,663,7255842,Hit
177885,Last Survivors Deluxe,2021-03-05,Casual,Indie,9.99,$5-10,Paid,No,No,No,,5700,140,78,64.6,13.5,22,19127,Not hit
142698,Steel League 2,2017-09-09,Puzzle,Indie,0.99,< $5,Paid,No,No,No,Unsupported,64200,1516,152,90.9,7.5,238,26862,Not hit
108769,Solar League,2019-06-23,Strategy,Indie,14.99,$10-20,Paid,No,No,No,Playable,4500,83,11,88.5,84.5,12,29608,Not hit
180401,Neon Chronicles II,2023-09-02,Adventure,Indie,19.99,$10-20,Paid,No,No,No,Playable,8600,207,51,80.5,8.2,24,77625,Not hit
132856,Steel Tower 2,2017-05-27,Action,Indie,2.99,< $5,Paid,No,Yes,No,Playable,628800,8702,1232,87.6,15.8,4123,783951,Hit
133115,Neon Odyssey Deluxe,2023-01-25,Casual,Indie,0.99,< $5,Paid,No,No,No,Playable,7500,174,28,86.4,12.5,14,2826,Not hit
156795,Eternal Chronicles Remastered,2024-04-07,Action,Indie,9.99,$5-10,Paid,No,Yes,No,Playable,10400,144,54,73.1,3.4,11,45656,Not hit
102146,Frozen Dungeon,2018-07-27,Simulation,AA,19.99,$10-20,Paid,No,No,No,Unsupported,224400,4771,1434,76.9,62.1,867,1662239,Not hit
128786,Dark Tower: Origins,2024-03-07,Survival,Indie,4.99,< $5,Paid,No,No,No,Verified,278500,4569,1172,79.6,14.7,162,539514,Not hit
128046,Last Dungeon: Origins,2023-01-10,Puzzle,Indie,0.99,< $5,Paid,Yes,No,No,Playable,200,2,1,85.6,7.7,0,88,Not hit
116280,Solar Colony II,2017-05-01,Puzzle,Indie,0.0,Free,Free,No,No,No,Playable,34200,963,127,88.4,10.6,109,34539,Not hit
164380,Star Kingdom 2,2017-03-18,Survival,Indie,19.99,$10-20,Paid,No,Yes,Yes,Verified,36500,533,169,76.0,106.2,199,317127,Not hit
103478,Void Horizon II,2019-03-16,Action,AAA,59.99,$40+,Paid,No,Yes,No,Playable,1065600,20438,8471,70.7,24.8,6252,27775340,Not hit
117982,Pixel Hunter,2023-02-10,Survival,Indie,0.0,Free,Free,No,Yes,No,Unsupported,84200,1467,623,70.2,34.8,188,140541,Not hit
145769,Tiny Survivors: Origins,2025-02-27,Adventure,Indie,0.0,Free,Free,Yes,No,No,Verified,20900,587,239,71.1,22.1,14,29698,Not hit
181881,Broken Survivors II,2023-07-18,Adventure,Indie,4.99,< $5,Paid,No,No,Yes,Unsupported,13500,259,16,94.3,33.2,28,26347,Not hit
137296,Frozen Survivors II,2021-11-10,Survival,Indie,14.99,$10-20,Paid,No,Yes,No,Verified,5200,130,65,66.9,34.4,33,26354,Not hit
102035,Dark Factory,2023-12-09,Puzzle,Indie,4.99,< $5,Paid,No,No,No,Verified,300,6,4,60.3,15.8,0,671,Not hit
168376,Iron Village Deluxe,2019-05-07,RPG,Indie,9.99,$5-10,Paid,No,No,No,Playable,18600,501,156,76.4,30.4,10,82559,Not hit
131894,Steel Survivors Deluxe,2020-09-28,Simulation,Indie,4.99,< $5,Paid,No,No,No,Playable,27000,281,165,63.1,16.8,81,52323,Not hit
190243,Neon Racer Remastered,2023-08-14,Racing,Indie,9.99,$5-10,Paid,No,No,No,Unsupported,10200,232,37,86.3,15.9,24,43999,Not hit
185063,Lost Village: Origins Remastered,2017-09-19,Action,Indie,9.99,$5-10,Paid,No,No,No,Playable,3900,85,50,63.1,6.9,3,13461,Not hit
100962,Cyber Hunter,2024-09-23,Action,AA,39.99,$20-40,Paid,No,Yes,No,Playable,45700,1138,149,88.5,16.4,57,680333,Not hit
164454,Dragon Island Deluxe Deluxe,2019-10-07,RPG,Indie,0.0,Free,Free,Yes,No,Yes,Unsupported,213100,4315,1798,70.6,125.9,487,104758,Not hit
126566,Golden Frontier,2019-01-12,RPG,Indie,14.99,$10-20,Paid,No,No,No,Verified,800,13,9,61.4,38.2,3,4071,Not hit
131524,Dragon Empire Remastered,2019-11-05,Action,Indie,9.99,$5-10,Paid,No,No,No,Verified,1200,19,12,63.2,8.4,3,4809,Not hit
163677,Solar Protocol II,2025-07-09,RPG,Indie,4.99,< $5,Paid,No,Yes,No,Playable,31500,545,26,95.6,74.5,93,55519,Not hit
111100,Rogue Hunter Deluxe,2025-06-17,Adventure,Indie,0.0,Free,Free,No,No,No,Playable,1100,20,14,60.5,27.8,0,1341,Not hit
179476,Tiny Island Deluxe: Origins Remastered,2022-06-16,Adventure,Indie,19.99,$10-20,Paid,No,Yes,No,Verified,7300,132,80,62.7,6.9,28,64483,Not hit
155389,Broken Kingdom Deluxe,2024-12-14,Action,Indie,9.99,$5-10,Paid,Yes,No,No,Playable,4700,67,56,54.8,7.6,2,19283,Not hit
122459,Rogue Frontier,2016-12-01,Action,Indie,9.99,$5-10,Paid,No,No,No,Unsupported,131600,2106,414,83.6,11.6,106,459458,Hit
118167,Frozen Tactics Deluxe,2019-05-05,Racing,Indie,14.99,$10-20,Paid,No,No,No,Verified,146000,3902,377,91.2,47.1,419,706844,Hit
171558,Tiny Tactics Remastered Remastered,2017-01-16,Action,AA,24.99,$20-40,Paid,No,No,No,Verified,71400,1944,826,70.2,53.8,277,679536,Not hit
121719,Neon Hunter,2023-03-21,Roguelike,Indie,14.99,$10-20,Paid,No,No,No,Verified,121200,3929,40,99,31.9,290,616503,Hit
191464,Iron Horizon Deluxe,2022-12-14,Casual,Indie,4.99,< $5,Paid,No,No,No,Unsupported,14100,184,89,67.5,6.9,24,29915,Not hit
121793,Frozen Factory: Origins,2021-09-23,Adventure,Indie,4.99,< $5,Paid,No,Yes,Yes,Playable,1400,26,11,71.7,8.6,3,3088,Not hit
122052,Dark Ocean II,2022-11-27,Adventure,Indie,2.99,< $5,Paid,Yes,Yes,No,Playable,6800,115,41,74.1,,9,6740,Not hit
123014,Tiny Frontier,2021-01-23,Racing,Indie,4.99,< $5,Paid,No,Yes,No,Verified,10400,176,54,76.8,25.1,13,18795,Not hit
131191,Neon Island 2,2024-07-12,Roguelike,Indie,19.99,$10-20,Paid,No,No,No,Playable,13000,180,53,77.6,51.4,10,113606,Not hit
164824,Wild Arena 2,2023-11-28,Casual,Indie,0.0,Free,Free,No,No,No,Unsupported,127500,2985,431,87.4,4.7,342,179524,Hit
146361,Shadow Island Deluxe,2019-09-03,Simulation,AA,39.99,$20-40,Paid,No,No,No,Playable,70900,890,697,56.1,35.0,215,1016487,Not hit
150764,Last League 2,2018-07-30,Action,AA,24.99,$20-40,Paid,No,No,Yes,Verified,4203100,140255,1417,99,19.9,7102,40827422,Hit
191945,Hidden Hunter 2 2,2025-06-04,Puzzle,AA,24.99,$20-40,Paid,No,No,No,Verified,9500,125,53,70.4,4.8,28,80783,Not hit
128157,Shadow Legends Deluxe,2018-06-14,Racing,Indie,14.99,$10-20,Paid,Yes,Yes,No,Verified,16300,468,137,77.5,33.2,29,85287,Not hit
165823,Hidden League 2 II,2023-05-28,Horror,Indie,9.99,$5-10,Paid,No,Yes,No,Unsupported,2000,20,16,58.3,5.7,6,6852,Not hit
154538,Golden Protocol Remastered,2021-09-01,Horror,AA,39.99,$20-40,Paid,No,No,No,Unsupported,64500,1314,451,74.5,6.3,106,1134452,Not hit
124716,Lost Island,2016-12-05,Casual,Indie,19.99,$10-20,Paid,No,No,No,Verified,3700,114,32,78.7,6.1,5,26970,Not hit
105254,Tiny League II,2019-06-05,Simulation,Indie,19.99,$10-20,Paid,No,No,No,Unsupported,26700,357,55,86.7,28.3,83,170002,Not hit
123532,Eternal Island Remastered Deluxe,2017-03-10,Adventure,AA,29.99,$20-40,Paid,No,No,No,Unsupported,340400,11252,593,95.0,20.3,648,4549633,Hit
158460,Steel Survivors Remastered,2024-08-30,Adventure,Indie,9.99,$5-10,Paid,No,No,No,Playable,200,4,2,73.6,4.1,0,856,Not hit
