enroll_id,enroll_date,course_category,course_name,learning_mode,customer_type,seats,price_per_seat,total_amount,lead_source,satisfaction,completed
ENR01374,2024-03-25,Office,PowerPoint Design,Onsite,องค์กร,1,3200,3200,Google Search,4.5,สำเร็จ
ENR00086,2024-01-02,Office,PowerPoint Design,Onsite,องค์กร,1,3200,3200,องค์กรส่งมา,4.9,สำเร็จ
ENR01146,2025-07-25,SQL,SQL Fundamentals,Onsite,องค์กร,5,4900,22050,องค์กรส่งมา,4.0,สำเร็จ
ENR00315,2024-09-15,Python,Machine Learning,Online Live,บุคคลทั่วไป,3,8900,26700,LINE OA,4.6,สำเร็จ
ENR00512,2024-08-26,Excel,Excel Dashboard,Onsite,บุคคลทั่วไป,3,4900,14700,Facebook,5,สำเร็จ
ENR01472,2024-10-14,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,4.7,สำเร็จ
ENR00730,2025-11-30,Excel,Excel Dashboard,E-Learning,องค์กร,3,3920,11760,องค์กรส่งมา,4.6,สำเร็จ
ENR01187,2024-06-25,Python,Machine Learning,Online Live,บุคคลทั่วไป,1,8900,8900,TikTok,4.0,ไม่สำเร็จ
ENR01163,2024-06-01,Excel,Excel Basic,Onsite,บุคคลทั่วไป,2,3500,7000,TikTok,4.3,ไม่สำเร็จ
ENR00593,2024-10-06,AI Tools,AI Automation,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,3.7,สำเร็จ
ENR01467,2025-02-04,SQL,SQL Fundamentals,Online Live,บุคคลทั่วไป,1,4900,4900,เพื่อนแนะนำ,4.5,สำเร็จ
ENR01356,2025-10-14,Office,Word Professional,Onsite,องค์กร,5,2900,13050,องค์กรส่งมา,4.3,สำเร็จ
ENR00825,2025-09-16,Excel,Excel Basic,E-Learning,บุคคลทั่วไป,1,2800,2800,Facebook,4.5,สำเร็จ
ENR00662,2025-12-27,Excel,Excel Dashboard,E-Learning,องค์กร,10,3920,35280,องค์กรส่งมา,3.9,ไม่สำเร็จ
ENR00006,2024-06-09,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,TikTok,5,ไม่สำเร็จ
ENR01393,2025-03-19,Excel,Excel Advanced,E-Learning,บุคคลทั่วไป,1,3600,3600,เพื่อนแนะนำ,4.1,สำเร็จ
ENR00665,2024-07-19,Excel,Excel Basic,Online Live,องค์กร,1,3500,3500,Google Search,4.4,สำเร็จ
ENR00734,2024-07-16,AI Tools,AI Automation,Online Live,บุคคลทั่วไป,2,5900,11800,Google Search,4.0,สำเร็จ
ENR01337,2025-04-21,Power BI,Power BI Desktop,Onsite,องค์กร,10,5500,49500,Facebook,3.8,สำเร็จ
ENR01122,2024-12-29,SQL,SQL for Data Analyst,Online Live,องค์กร,2,5500,11000,เพื่อนแนะนำ,3.4,สำเร็จ
ENR00158,2024-07-15,Excel,Excel Basic,Onsite,องค์กร,1,3500,3500,องค์กรส่งมา,4.9,สำเร็จ
ENR00576,2025-11-12,Office,PowerPoint Design,E-Learning,บุคคลทั่วไป,1,2560,2560,เพื่อนแนะนำ,4.2,สำเร็จ
ENR01434,2025-06-27,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,2,5900,11800,Facebook,4.0,สำเร็จ
ENR01057,2024-05-22,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,4.3,ไม่สำเร็จ
ENR01246,2025-08-12,Excel,Excel Advanced,E-Learning,บุคคลทั่วไป,1,3600,3600,Google Search,4.6,สำเร็จ
ENR00491,2025-04-07,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,2,5500,11000,เพื่อนแนะนำ,3.9,ไม่สำเร็จ
ENR01411,2025-07-01,AI Tools,ChatGPT for Work,Onsite,บุคคลทั่วไป,2,3900,7800,TikTok,4.5,สำเร็จ
ENR01375,2025-04-24,Python,Python for Beginner,Online Live,บุคคลทั่วไป,1,5900,5900,LINE OA,3.6,สำเร็จ
ENR01443,2025-12-11,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,1,5500,5500,TikTok,4.2,ไม่สำเร็จ
ENR00311,2024-01-05,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,LINE OA,4.2,สำเร็จ
ENR00289,2024-10-21,Excel,Excel Basic,Onsite,บุคคลทั่วไป,3,3500,10500,เพื่อนแนะนำ,4.8,สำเร็จ
ENR00066,2024-03-01,SQL,SQL for Data Analyst,Onsite,บุคคลทั่วไป,2,5500,11000,Facebook,4.1,สำเร็จ
ENR00457,2024-06-09,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,1,5500,5500,Facebook,4.3,สำเร็จ
ENR00821,2024-12-01,Excel,Excel Advanced,Online Live,บุคคลทั่วไป,1,4500,4500,Facebook,4.6,สำเร็จ
ENR01123,2024-11-12,Excel,Excel Basic,Onsite,องค์กร,5,3500,15750,องค์กรส่งมา,5,สำเร็จ
ENR01000,2024-09-05,Python,Python for Beginner,E-Learning,บุคคลทั่วไป,1,4720,4720,เพื่อนแนะนำ,4.8,สำเร็จ
ENR00517,2025-12-01,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,3,5500,16500,TikTok,5.0,สำเร็จ
ENR01447,2025-11-07,Python,Machine Learning,Online Live,บุคคลทั่วไป,3,8900,26700,Facebook,4.0,สำเร็จ
ENR01326,2025-11-23,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,1,5500,5500,เพื่อนแนะนำ,3.9,สำเร็จ
ENR00081,2024-05-07,Power BI,DAX Formula,E-Learning,บุคคลทั่วไป,1,4720,4720,Facebook,4.2,สำเร็จ
ENR00378,2025-09-18,Excel,Excel Advanced,Online Live,บุคคลทั่วไป,3,4500,13500,TikTok,4.8,สำเร็จ
ENR00244,2024-09-20,Excel,Excel Dashboard,Online Live,องค์กร,5,4900,22050,องค์กรส่งมา,4.9,สำเร็จ
ENR00721,2024-09-12,Excel,Excel Dashboard,Onsite,บุคคลทั่วไป,1,4900,4900,เพื่อนแนะนำ,4.6,สำเร็จ
ENR00784,2025-08-19,SQL,SQL Fundamentals,Online Live,องค์กร,5,4900,22050,Facebook,4.3,สำเร็จ
ENR01167,2024-09-05,AI Tools,ChatGPT for Work,Online Live,องค์กร,10,3900,35100,องค์กรส่งมา,4.2,สำเร็จ
ENR00183,2025-12-14,SQL,SQL for Data Analyst,Online Live,บุคคลทั่วไป,1,5500,5500,LINE OA,4.3,สำเร็จ
ENR00338,2024-10-31,SQL,SQL for Data Analyst,Online Live,บุคคลทั่วไป,1,5500,5500,Facebook,5,สำเร็จ
ENR01403,2024-08-30,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,1,4500,4500,TikTok,4.5,สำเร็จ
ENR00279,2024-03-13,Power BI,Power BI Desktop,Onsite,องค์กร,1,5500,5500,TikTok,4.0,สำเร็จ
ENR00714,2024-12-11,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,3,5500,16500,TikTok,4.7,สำเร็จ
ENR01155,2025-04-15,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,2,4500,9000,LINE OA,4.2,สำเร็จ
ENR00964,2025-06-10,AI Tools,ChatGPT for Work,Online Live,บุคคลทั่วไป,2,3900,7800,LINE OA,4.8,สำเร็จ
ENR00309,2024-06-15,Excel,Excel Dashboard,E-Learning,บุคคลทั่วไป,3,3920,11760,Facebook,4.0,สำเร็จ
ENR01321,2025-06-06,Office,PowerPoint Design,Onsite,บุคคลทั่วไป,1,3200,3200,เพื่อนแนะนำ,4.5,สำเร็จ
ENR00949,2025-10-08,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,TikTok,4.4,สำเร็จ
ENR00596,2025-12-12,SQL,SQL for Data Analyst,Online Live,องค์กร,10,5500,49500,Facebook,4.3,สำเร็จ
ENR01302,2024-03-24,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,Google Search,4.6,สำเร็จ
ENR00184,2025-06-15,Python,Python for Beginner,Online Live,บุคคลทั่วไป,1,5900,5900,Facebook,4.0,สำเร็จ
ENR00634,2024-05-26,Excel,Excel Advanced,Online Live,องค์กร,1,4500,4500,Facebook,4.1,ไม่สำเร็จ
ENR00141,2025-04-25,AI Tools,ChatGPT for Work,Onsite,บุคคลทั่วไป,3,3900,11700,เพื่อนแนะนำ,4.8,สำเร็จ
ENR01031,2025-10-13,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,3,4500,13500,Google Search,4.3,สำเร็จ
ENR00304,2024-03-21,Excel,Excel Dashboard,E-Learning,บุคคลทั่วไป,1,3920,3920,Facebook,3.5,ไม่สำเร็จ
ENR00340,2025-01-05,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,3,5500,16500,Facebook,4.8,สำเร็จ
ENR00528,2024-02-26,Python,Python Data Analysis,Online Live,บุคคลทั่วไป,2,6900,13800,เพื่อนแนะนำ,4.9,สำเร็จ
ENR01387,2025-07-02,Python,Machine Learning,Online Live,บุคคลทั่วไป,1,8900,8900,TikTok,4.9,ไม่สำเร็จ
ENR00595,2024-01-26,Power BI,Power BI Desktop,E-Learning,บุคคลทั่วไป,2,4400,8800,LINE OA,4.1,สำเร็จ
ENR00365,2025-11-21,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,1,5500,5500,Google Search,4.5,ไม่สำเร็จ
ENR00222,2025-04-04,AI Tools,ChatGPT for Work,Onsite,บุคคลทั่วไป,2,3900,7800,Facebook,3.8,สำเร็จ
ENR00867,2024-03-08,Excel,Excel Advanced,Online Live,องค์กร,1,4500,4500,องค์กรส่งมา,5,ไม่สำเร็จ
ENR00473,2025-07-31,Excel,Excel Basic,Online Live,องค์กร,1,3500,3500,องค์กรส่งมา,4.7,สำเร็จ
ENR01176,2024-03-05,Excel,Excel Basic,Online Live,บุคคลทั่วไป,1,3500,3500,เพื่อนแนะนำ,4.5,สำเร็จ
ENR00816,2025-08-10,Excel,Excel Dashboard,Online Live,องค์กร,2,4900,9800,องค์กรส่งมา,4.9,ไม่สำเร็จ
ENR00689,2024-05-05,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,1,4500,4500,LINE OA,4.3,สำเร็จ
ENR00182,2025-04-27,SQL,SQL Fundamentals,E-Learning,บุคคลทั่วไป,1,3920,3920,Facebook,4.7,สำเร็จ
ENR00901,2024-05-20,Python,Python Data Analysis,Onsite,บุคคลทั่วไป,1,6900,6900,Google Search,3.9,สำเร็จ
ENR00848,2024-07-22,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,3.9,ไม่สำเร็จ
ENR00472,2024-09-08,Python,Python for Beginner,E-Learning,องค์กร,1,4720,4720,องค์กรส่งมา,4.7,สำเร็จ
ENR00128,2025-10-03,Excel,Excel Advanced,E-Learning,บุคคลทั่วไป,1,3600,3600,Facebook,4.4,สำเร็จ
ENR01199,2024-01-15,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,Facebook,4.5,สำเร็จ
ENR01376,2025-03-03,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,1,4500,4500,TikTok,3.9,สำเร็จ
ENR00624,2025-09-03,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,TikTok,4.4,สำเร็จ
ENR00387,2024-04-03,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,3,5500,16500,เพื่อนแนะนำ,4.5,สำเร็จ
ENR00605,2024-01-25,AI Tools,AI Automation,Online Live,องค์กร,5,5900,26550,องค์กรส่งมา,3.9,ไม่สำเร็จ
ENR00386,2024-04-11,SQL,SQL Fundamentals,Online Live,บุคคลทั่วไป,2,4900,9800,Facebook,4.6,สำเร็จ
ENR00189,2025-12-05,Excel,Excel Advanced,Onsite,องค์กร,5,4500,20250,TikTok,4.4,สำเร็จ
ENR00077,2024-10-07,AI Tools,AI Automation,Onsite,บุคคลทั่วไป,2,5900,11800,Facebook,4.2,สำเร็จ
ENR00987,2025-03-06,Python,Python for Beginner,Online Live,บุคคลทั่วไป,1,5900,5900,Google Search,3.8,สำเร็จ
ENR00357,2024-11-07,Office,PowerPoint Design,Onsite,บุคคลทั่วไป,3,3200,9600,Facebook,4.8,สำเร็จ
ENR00578,2024-04-13,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,2,5900,11800,LINE OA,4.5,สำเร็จ
ENR00716,2025-03-14,Excel,Excel Basic,Online Live,บุคคลทั่วไป,1,3500,3500,Facebook,4.6,สำเร็จ
ENR01277,2025-05-20,Excel,Excel Basic,Onsite,บุคคลทั่วไป,1,3500,3500,LINE OA,4.4,สำเร็จ
ENR00303,2025-04-14,Python,Python for Beginner,Online Live,องค์กร,5,5900,26550,องค์กรส่งมา,3.4,สำเร็จ
ENR00765,2025-11-04,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,Google Search,4.1,สำเร็จ
ENR00070,2024-05-31,SQL,SQL for Data Analyst,Online Live,องค์กร,1,5500,5500,LINE OA,4.6,สำเร็จ
ENR00390,2025-04-06,AI Tools,ChatGPT for Work,E-Learning,บุคคลทั่วไป,1,3120,3120,Google Search,4.5,สำเร็จ
ENR01206,2025-11-29,AI Tools,AI Automation,E-Learning,บุคคลทั่วไป,2,4720,9440,LINE OA,4.6,สำเร็จ
ENR00794,2025-10-18,SQL,SQL for Data Analyst,Onsite,บุคคลทั่วไป,1,5500,5500,TikTok,4.2,สำเร็จ
ENR00789,2024-06-01,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,2,5900,11800,เพื่อนแนะนำ,4.5,สำเร็จ
ENR00057,2024-08-28,Excel,Excel Basic,Online Live,องค์กร,2,3500,7000,เพื่อนแนะนำ,5,สำเร็จ
ENR01363,2024-11-13,Excel,Excel Dashboard,Onsite,บุคคลทั่วไป,3,4900,14700,TikTok,4.0,สำเร็จ
ENR01291,2024-11-13,Python,Machine Learning,Onsite,องค์กร,2,8900,17800,องค์กรส่งมา,4.3,สำเร็จ
ENR00826,2025-07-15,Python,Machine Learning,Online Live,บุคคลทั่วไป,2,8900,17800,Facebook,4.1,สำเร็จ
ENR00571,2024-06-10,Excel,Excel Dashboard,Onsite,องค์กร,1,4900,4900,Google Search,4.6,สำเร็จ
ENR00817,2025-05-28,Excel,Excel Advanced,Online Live,บุคคลทั่วไป,3,4500,13500,TikTok,4.4,สำเร็จ
ENR01489,2024-09-08,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,Facebook,4.1,สำเร็จ
ENR01207,2024-10-19,SQL,SQL Fundamentals,Online Live,บุคคลทั่วไป,3,4900,14700,TikTok,4.4,สำเร็จ
ENR00381,2025-01-07,Power BI,Power BI Desktop,E-Learning,องค์กร,1,4400,4400,Facebook,3.9,สำเร็จ
ENR00673,2024-12-02,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,1,5900,5900,LINE OA,4.8,สำเร็จ
ENR00341,2024-08-19,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,3.9,สำเร็จ
ENR00787,2025-09-01,Python,Python for Beginner,Onsite,บุคคลทั่วไป,1,5900,5900,TikTok,4.4,สำเร็จ
ENR00270,2025-10-27,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,1,5500,5500,LINE OA,4.8,สำเร็จ
ENR00163,2024-10-22,Office,PowerPoint Design,E-Learning,บุคคลทั่วไป,1,2560,2560,Facebook,4.9,สำเร็จ
ENR00904,2025-01-05,Excel,Excel Dashboard,E-Learning,บุคคลทั่วไป,1,3920,3920,เพื่อนแนะนำ,4.4,สำเร็จ
ENR00572,2024-07-23,Excel,Excel Basic,Online Live,องค์กร,5,3500,15750,TikTok,4.8,สำเร็จ
ENR01107,2024-04-28,Power BI,DAX Formula,E-Learning,องค์กร,5,4720,21240,TikTok,4.3,สำเร็จ
ENR00060,2025-02-20,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,1,5500,5500,TikTok,4.9,สำเร็จ
ENR01287,2024-06-18,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,1,5900,5900,Facebook,3.8,สำเร็จ
ENR00111,2025-08-28,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,2,4500,9000,เพื่อนแนะนำ,4.1,ไม่สำเร็จ
ENR00254,2024-07-12,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,Facebook,4.1,สำเร็จ
ENR00786,2025-11-03,Python,Python for Beginner,E-Learning,องค์กร,5,4720,21240,องค์กรส่งมา,4.2,สำเร็จ
ENR00638,2025-06-03,Excel,Excel Basic,E-Learning,องค์กร,1,2800,2800,TikTok,4.8,สำเร็จ
ENR01446,2025-08-23,Python,Python for Beginner,Onsite,องค์กร,5,5900,26550,เพื่อนแนะนำ,5,สำเร็จ
ENR01309,2025-01-05,Python,Machine Learning,E-Learning,บุคคลทั่วไป,2,7120,14240,LINE OA,5.0,สำเร็จ
ENR01076,2024-12-10,Excel,Excel Dashboard,Online Live,องค์กร,5,4900,22050,,4.5,สำเร็จ
ENR01267,2024-05-05,AI Tools,AI Automation,E-Learning,บุคคลทั่วไป,1,4720,4720,LINE OA,4.4,สำเร็จ
ENR00209,2024-03-13,Excel,Excel Basic,Onsite,บุคคลทั่วไป,1,3500,3500,LINE OA,4.5,สำเร็จ
ENR00850,2025-11-12,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,1,5900,5900,Google Search,5,สำเร็จ
ENR01265,2025-10-21,Office,Word Professional,Online Live,บุคคลทั่วไป,1,2900,2900,Facebook,4.1,ไม่สำเร็จ
ENR01184,2025-11-24,Office,PowerPoint Design,Online Live,บุคคลทั่วไป,1,3200,3200,เพื่อนแนะนำ,4.3,สำเร็จ
ENR00441,2025-05-07,SQL,SQL for Data Analyst,Online Live,องค์กร,5,5500,24750,LINE OA,4.8,สำเร็จ
ENR00452,2025-10-24,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,3,4900,14700,Google Search,4.5,สำเร็จ
ENR00321,2025-04-22,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,2,5900,11800,,4.6,สำเร็จ
ENR00225,2024-09-11,Excel,Excel Dashboard,Onsite,บุคคลทั่วไป,1,4900,4900,LINE OA,4.0,สำเร็จ
ENR00455,2024-04-17,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,1,5500,5500,LINE OA,4.5,สำเร็จ
ENR00218,2025-09-24,Python,Python Data Analysis,Onsite,องค์กร,5,6900,31050,องค์กรส่งมา,4.7,สำเร็จ
ENR01461,2025-06-22,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,2,4900,9800,TikTok,4.1,สำเร็จ
ENR00353,2025-03-30,AI Tools,ChatGPT for Work,Online Live,องค์กร,10,3900,35100,องค์กรส่งมา,4.1,สำเร็จ
ENR01353,2024-08-25,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,LINE OA,5,สำเร็จ
ENR00708,2024-01-10,SQL,SQL for Data Analyst,E-Learning,บุคคลทั่วไป,1,4400,4400,TikTok,4.7,ไม่สำเร็จ
ENR01255,2024-06-25,Python,Machine Learning,Onsite,บุคคลทั่วไป,2,8900,17800,Facebook,3.8,สำเร็จ
ENR00759,2024-09-29,Power BI,Power BI Desktop,Online Live,องค์กร,1,5500,5500,องค์กรส่งมา,5,สำเร็จ
ENR01040,2024-10-24,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,Facebook,4.4,สำเร็จ
ENR00644,2025-03-04,AI Tools,AI Automation,Online Live,บุคคลทั่วไป,3,5900,17700,Google Search,4.2,สำเร็จ
ENR00891,2025-03-07,AI Tools,ChatGPT for Work,Online Live,บุคคลทั่วไป,1,3900,3900,Google Search,4.1,สำเร็จ
ENR01059,2024-06-10,Python,Python Data Analysis,E-Learning,บุคคลทั่วไป,1,5520,5520,TikTok,4.1,สำเร็จ
ENR00536,2024-06-27,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,1,4500,4500,Facebook,4.4,สำเร็จ
ENR00418,2025-12-16,Python,Python for Beginner,E-Learning,บุคคลทั่วไป,1,4720,4720,Google Search,4.7,สำเร็จ
ENR01033,2025-01-22,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,2,4900,9800,,4.5,สำเร็จ
ENR00250,2024-12-10,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,เพื่อนแนะนำ,4.5,สำเร็จ
ENR00255,2025-06-24,Excel,Excel Advanced,Online Live,บุคคลทั่วไป,1,4500,4500,LINE OA,4.2,สำเร็จ
ENR01005,2024-05-15,SQL,SQL Fundamentals,Online Live,องค์กร,10,4900,44100,เพื่อนแนะนำ,4.1,สำเร็จ
ENR00049,2025-01-23,Python,Machine Learning,Onsite,บุคคลทั่วไป,1,8900,8900,TikTok,5.0,สำเร็จ
ENR00143,2024-11-20,Excel,Excel Basic,Online Live,บุคคลทั่วไป,1,3500,3500,Google Search,4.3,สำเร็จ
ENR00877,2025-04-29,Python,Python for Beginner,Onsite,บุคคลทั่วไป,1,5900,5900,TikTok,3.7,สำเร็จ
ENR00606,2024-08-29,Power BI,DAX Formula,Online Live,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,4.4,สำเร็จ
ENR00313,2025-11-07,Excel,Excel Dashboard,Online Live,องค์กร,5,4900,22050,LINE OA,4.4,สำเร็จ
ENR01140,2024-07-24,Office,PowerPoint Design,E-Learning,องค์กร,1,2560,2560,องค์กรส่งมา,4.4,สำเร็จ
ENR00193,2025-08-21,Office,PowerPoint Design,Onsite,องค์กร,5,3200,14400,องค์กรส่งมา,4.4,สำเร็จ
ENR01156,2025-06-13,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,1,5500,5500,LINE OA,4.5,สำเร็จ
ENR00771,2024-01-19,Excel,Excel Basic,E-Learning,บุคคลทั่วไป,1,2800,2800,LINE OA,4.3,สำเร็จ
ENR00483,2025-05-13,AI Tools,AI Automation,Online Live,บุคคลทั่วไป,3,5900,17700,Google Search,4.7,สำเร็จ
ENR01441,2025-02-05,Excel,Excel Dashboard,Online Live,บุคคลทั่วไป,1,4900,4900,Google Search,3.9,สำเร็จ
ENR00129,2025-09-27,Power BI,DAX Formula,Onsite,บุคคลทั่วไป,1,5900,5900,LINE OA,3.9,สำเร็จ
ENR00421,2024-12-09,Excel,Excel Basic,Online Live,บุคคลทั่วไป,1,3500,3500,Facebook,3.6,สำเร็จ
ENR00709,2024-02-24,SQL,SQL for Data Analyst,Onsite,บุคคลทั่วไป,1,5500,5500,เพื่อนแนะนำ,4.0,สำเร็จ
ENR00150,2024-12-15,AI Tools,AI Automation,Onsite,องค์กร,3,5900,17700,Facebook,4.4,สำเร็จ
ENR00446,2025-10-18,Excel,Excel Basic,Onsite,บุคคลทั่วไป,1,3500,3500,Google Search,4.8,สำเร็จ
ENR01046,2024-01-15,Excel,Excel Advanced,Onsite,องค์กร,10,4500,40500,Facebook,4.5,สำเร็จ
ENR01210,2025-07-05,Excel,Excel Advanced,Onsite,บุคคลทั่วไป,1,4500,4500,LINE OA,4.7,สำเร็จ
ENR01480,2025-02-25,Office,PowerPoint Design,Onsite,บุคคลทั่วไป,1,3200,3200,LINE OA,4.7,สำเร็จ
ENR00033,2024-09-08,Office,Word Professional,Onsite,องค์กร,5,2900,13050,องค์กรส่งมา,,สำเร็จ
ENR00477,2025-12-03,Power BI,DAX Formula,E-Learning,บุคคลทั่วไป,1,4720,4720,TikTok,4.6,สำเร็จ
ENR00539,2024-05-30,Python,Python Data Analysis,Onsite,บุคคลทั่วไป,2,6900,13800,LINE OA,3.6,สำเร็จ
ENR00945,2025-02-13,Python,Python for Beginner,Online Live,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,4.7,สำเร็จ
ENR01315,2024-04-24,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,เพื่อนแนะนำ,4.0,สำเร็จ
ENR01440,2025-03-10,Office,Word Professional,Online Live,บุคคลทั่วไป,2,2900,5800,เพื่อนแนะนำ,4.3,สำเร็จ
ENR00732,2024-12-11,Office,Word Professional,E-Learning,บุคคลทั่วไป,1,2320,2320,เพื่อนแนะนำ,4.4,สำเร็จ
ENR00748,2025-01-14,Excel,Excel Dashboard,Onsite,บุคคลทั่วไป,1,4900,4900,LINE OA,4.8,สำเร็จ
ENR00400,2025-01-18,Excel,Excel Basic,Onsite,บุคคลทั่วไป,3,3500,10500,LINE OA,4.6,สำเร็จ
ENR00290,2024-05-17,Python,Python for Beginner,E-Learning,องค์กร,3,4720,14160,องค์กรส่งมา,4.3,สำเร็จ
ENR00456,2025-04-28,AI Tools,AI Automation,Onsite,บุคคลทั่วไป,1,5900,5900,เพื่อนแนะนำ,4.4,ไม่สำเร็จ
ENR00414,2025-05-14,Power BI,Power BI Desktop,Onsite,บุคคลทั่วไป,1,5500,5500,LINE OA,4.8,สำเร็จ
ENR00607,2024-04-27,Power BI,Power BI Desktop,Online Live,บุคคลทั่วไป,2,5500,11000,Facebook,4.4,สำเร็จ
ENR00725,2024-10-28,Python,Machine Learning,Online Live,บุคคลทั่วไป,1,8900,8900,เพื่อนแนะนำ,4.7,สำเร็จ
ENR01469,2025-11-23,SQL,SQL Fundamentals,Onsite,บุคคลทั่วไป,1,4900,4900,TikTok,4.3,สำเร็จ
ENR01008,2025-06-01,AI Tools,ChatGPT for Work,E-Learning,บุคคลทั่วไป,2,3120,6240,Facebook,,สำเร็จ
ENR01285,2024-11-16,Excel,Excel Basic,Online Live,องค์กร,1,3500,3500,LINE OA,4.4,สำเร็จ
